"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":19949.75500000146}]","19952.775000005204","instructions","0","19956","0.0-0.0","SS1613100421104",""
"[{""page_index"":0,""viewing_time"":20348.449999997683},{""page_index"":1,""viewing_time"":1348289.815000004}]","1368639.5950000007","instructions","1","1390648","0.0-1.0","SS1613100421104","instructions"
