"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","3239.6249999292195","sequential-stimulus-presentation","21","78394","0.0-8.0-1.6","SS1613079990976","trial","","40","800","4039.6249999292195","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_08_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_08_A_a.gif","left","","","","",""
"","null","html-keyboard-response","22","79304","0.0-8.0-0.7","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","346.64000011980534","sequential-stimulus-presentation","23","80457","0.0-8.0-1.7","SS1613079990976","trial","","40","800","1146.6400001198053","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_08_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_08_A_a.gif","left","","","","",""
"","1597.7749996818602","html-keyboard-response","24","82059","0.0-9.0","SS1613079990976","pref_question","","49","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","0","","","","","","","",""
"","472.88000024855137","sequential-stimulus-presentation","25","83336","0.0-10.0","SS1613079990976","pref_reveal","","40","800","1272.8800002485514","null","null","","","","","0","","","","background","","","",""
"","null","html-keyboard-response","26","84265","0.0-11.0-0.0","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","769.6099998429418","sequential-stimulus-presentation","27","85846","0.0-11.0-1.0","SS1613079990976","trial","","40","800","1569.6099998429418","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","28","86833","0.0-11.0-0.1","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","142.98000000417233","sequential-stimulus-presentation","29","87781","0.0-11.0-1.1","SS1613079990976","trial","","40","800","942.9800000041723","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","30","89005","0.0-11.0-0.2","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1961.7250002920628","sequential-stimulus-presentation","31","91774","0.0-11.0-1.2","SS1613079990976","trial","","40","800","2761.7250002920628","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","32","92623","0.0-11.0-0.3","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","328.814999666065","sequential-stimulus-presentation","33","93757","0.0-11.0-1.3","SS1613079990976","trial","","40","800","1128.814999666065","images/stimuli/spore_stims/complex_10_A_a.gif","images/stimuli/spore_stims/complex_10_B_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_10_B_a.gif","left","","","","",""
"","null","html-keyboard-response","34","95004","0.0-11.0-0.4","SS1613079990976","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
