"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed"
"[{""page_index"":0,""viewing_time"":1459.9249998573214},{""page_index"":1,""viewing_time"":487.85499995574355}]","1948.8199998158962","instructions","instructions","0","1952","0.0-0.0","SS1611845367390","","","","","","","","","",""
"","515.3500000014901","","sequential-stimulus-presentation","1","3376","0.0-1.0","SS1611845367390","","40","900","1415.3500000014901","","","","","",""
"","80.30500006861985","","sequential-stimulus-presentation","2","4362","0.0-2.0","SS1611845367390","","40","900","980.3050000686198","","","","","",""
"[{""page_index"":0,""viewing_time"":1408.8850000407547}]","1409.9500000011176","instructions","instructions","3","5775","0.0-3.0","SS1611845367390","","","","","","","","","",""
"","1427.9350000433624","instructions","html-keyboard-response","4","7211","0.0-4.0","SS1611845367390","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","","",""
"","297.55000001750886","pref_reveal","sequential-stimulus-presentation","5","8417","0.0-5.0","SS1611845367390","","40","900","1197.5500000175089","","","","","",""
"[{""page_index"":0,""viewing_time"":1831.85000019148},{""page_index"":1,""viewing_time"":616.0999999847263},{""page_index"":2,""viewing_time"":1400.069999974221},{""page_index"":3,""viewing_time"":551.7849999014288}]","4400.615000165999","instructions","instructions","6","12822","0.0-6.0","SS1611845367390","","","","","","","","","",""
"","null","","html-keyboard-response","7","13914","0.0-7.0-0.0","SS1611845367390","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","184.18000009842217","trial","sequential-stimulus-presentation","8","15008","0.0-7.0-1.0","SS1611845367390","","40","900","1084.1800000984222","","","","0","images/stimuli/spore_stims/simple_09_A_b.gif","right"
"","null","","html-keyboard-response","9","15847","0.0-7.0-0.1","SS1611845367390","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","516.2500001024455","trial","sequential-stimulus-presentation","10","17274","0.0-7.0-1.1","SS1611845367390","","40","900","1416.2500001024455","","","","0","images/stimuli/spore_stims/simple_09_A_b.gif","right"
"","null","","html-keyboard-response","11","18277","0.0-7.0-0.2","SS1611845367390","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","182.34999990090728","trial","sequential-stimulus-presentation","12","19371","0.0-7.0-1.2","SS1611845367390","","40","900","1082.3499999009073","","","","0","images/stimuli/spore_stims/simple_09_A_b.gif","right"
"","null","","html-keyboard-response","13","20246","0.0-7.0-0.3","SS1611845367390","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
