"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":2669.645000001765}]","2670.365000001766","instructions","0","2675","0.0-0.0","SS1613080051726",""
"[{""page_index"":0,""viewing_time"":1650.659999999334},{""page_index"":1,""viewing_time"":6711.8850000006205}]","8363.190000000031","instructions","1","13042","0.0-1.0","SS1613080051726","instructions"
