"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time"
"[{""page_index"":0,""viewing_time"":1461.0000000000005},{""page_index"":1,""viewing_time"":1400.9999999999995}]","2862","instructions","instructions","0","2869","0.0-0.0","SS1612119526631","","","",""
"","626","","sequential-stimulus-presentation","1","4401","0.0-1.0","SS1612119526631","","40","900","1526"
