"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number"
"[{""page_index"":0,""viewing_time"":1816.5750000625849},{""page_index"":1,""viewing_time"":3508.9399999706075}]","5326.5900000697","instructions","instructions","0","5362","0.0-0.0","SS1611867246415","","","","","","","",""
"","1073.8950000377372","","sequential-stimulus-presentation","1","7371","0.0-1.0","SS1611867246415","","40","900","1973.8950000377372","","","",""
"","1582.9300000332296","","sequential-stimulus-presentation","2","9859","0.0-2.0","SS1611867246415","","40","900","2482.9300000332296","","","",""
"[{""page_index"":0,""viewing_time"":1723.5900000669062}]","1723.809999995865","instructions","instructions","3","11585","0.0-3.0","SS1611867246415","","","","","","","",""
"","1378.9150000084192","instructions","html-keyboard-response","4","12967","0.0-4.0","SS1611867246415","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle",""
"","555.5850000819191","pref_reveal","sequential-stimulus-presentation","5","14428","0.0-5.0","SS1611867246415","","40","900","1455.5850000819191","","","",""
"[{""page_index"":0,""viewing_time"":1060.8299999730662},{""page_index"":1,""viewing_time"":556.0099999420345},{""page_index"":2,""viewing_time"":780.1200000103563},{""page_index"":3,""viewing_time"":654.1800000704825}]","3051.439999951981","instructions","instructions","6","17483","0.0-6.0","SS1611867246415","","","","","","","",""
"","null","","html-keyboard-response","7","18727","0.0-7.0-0.0","SS1611867246415","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","",""
