"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":9793.20000000007}]","9796.399999999267","instructions","0","9800","0.0-0.0","SS1613081579909",""
"[{""page_index"":0,""viewing_time"":8881.999999999607},{""page_index"":1,""viewing_time"":17062.799999999697}]","25945.799999999508","instructions","1","37756","0.0-1.0","SS1613081579909","instructions"
