"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":16705.379999941215},{""page_index"":1,""viewing_time"":6034.355000127107}]","22740.98000000231","instructions","instructions","0","22923","0.0-0.0","SS1611940408831","","","","","","","","","","","","","","",""
"","7636.500000022352","","sequential-stimulus-presentation","1","31475","0.0-1.0","SS1611940408831","","40","900","8536.500000022352","","","","","","","","","","",""
"","13389.285000041127","","sequential-stimulus-presentation","2","45767","0.0-2.0","SS1611940408831","","40","900","14289.285000041127","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17842.279999982566}]","17842.60999993421","instructions","instructions","3","63613","0.0-3.0","SS1611940408831","","","","","","","","","","","","","","",""
"","21358.99499990046","instructions","html-keyboard-response","4","84976","0.0-4.0","SS1611940408831","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","","","","","",""
"","10481.129999971017","pref_reveal","sequential-stimulus-presentation","5","96361","0.0-5.0","SS1611940408831","","40","900","11381.129999971017","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19029.700000071898},{""page_index"":1,""viewing_time"":7540.73500004597},{""page_index"":2,""viewing_time"":1384.6449998673052},{""page_index"":3,""viewing_time"":1616.5800001472235}]","29571.905000135303","instructions","instructions","6","125937","0.0-6.0","SS1611940408831","","","","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","127178","0.0-7.0-0.0","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","8633.429999928921","trial","sequential-stimulus-presentation","8","136721","0.0-7.0-1.0","SS1611940408831","","40","900","9533.429999928921","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","9","137599","0.0-7.0-0.1","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","2747.8899999987334","trial","sequential-stimulus-presentation","10","141254","0.0-7.0-1.1","SS1611940408831","","40","900","3647.8899999987334","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","11","142344","0.0-7.0-0.2","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","1364.619999891147","trial","sequential-stimulus-presentation","12","144615","0.0-7.0-1.2","SS1611940408831","","40","900","2264.619999891147","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","13","145485","0.0-7.0-0.3","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","2614.7099998779595","trial","sequential-stimulus-presentation","14","149009","0.0-7.0-1.3","SS1611940408831","","40","900","3514.7099998779595","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","15","149968","0.0-7.0-0.4","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","986.6400000173599","trial","sequential-stimulus-presentation","16","151864","0.0-7.0-1.4","SS1611940408831","","40","900","1886.6400000173599","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","17","152913","0.0-7.0-0.5","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","748.3050001319498","trial","sequential-stimulus-presentation","18","154572","0.0-7.0-1.5","SS1611940408831","","40","900","1648.3050001319498","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","19","155446","0.0-7.0-0.6","SS1611940408831","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","1127.125000115484","trial","sequential-stimulus-presentation","20","157483","0.0-7.0-1.6","SS1611940408831","","40","900","2027.125000115484","","","","0","images/stimuli/spore_stims/simple_12_A_a.gif","right","","","","",""
