"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"","373.440000024857","sequential-stimulus-presentation","21","46747","0.0-8.0-1.6","SS1613099237624","trial","","40","800","1173.440000024857","images/stimuli/spore_stims/simple_11_A_d.gif","images/stimuli/spore_stims/simple_05_A_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_c.gif","right",""
"","null","html-keyboard-response","22","48043","0.0-8.0-0.7","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","451.9950000103563","sequential-stimulus-presentation","23","49308","0.0-8.0-1.7","SS1613099237624","trial","","40","800","1251.9950000103563","images/stimuli/spore_stims/simple_11_A_d.gif","images/stimuli/spore_stims/simple_05_A_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_c.gif","right",""
"","942.685000016354","html-keyboard-response","24","50257","0.0-9.0","SS1613099237624","pref_question","","51","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","0","","","",""
"","863.7400000006892","sequential-stimulus-presentation","25","51929","0.0-10.0","SS1613099237624","pref_reveal","","40","800","1663.7400000006892","null","null","","","","","0","","","","background"
"","null","html-keyboard-response","26","52832","0.0-11.0-0.0","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","373.60999998054467","sequential-stimulus-presentation","27","54021","0.0-11.0-1.0","SS1613099237624","trial","","40","800","1173.6099999805447","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","28","55061","0.0-11.0-0.1","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","386.7350000073202","sequential-stimulus-presentation","29","56256","0.0-11.0-1.1","SS1613099237624","trial","","40","800","1186.7350000073202","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","30","57211","0.0-11.0-0.2","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","298.97999999229796","sequential-stimulus-presentation","31","58324","0.0-11.0-1.2","SS1613099237624","trial","","40","800","1098.979999992298","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","32","59596","0.0-11.0-0.3","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","239.66500000096858","sequential-stimulus-presentation","33","60650","0.0-11.0-1.3","SS1613099237624","trial","","40","800","1039.6650000009686","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","34","61637","0.0-11.0-0.4","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","394.83999999356456","sequential-stimulus-presentation","35","62890","0.0-11.0-1.4","SS1613099237624","trial","","40","800","1194.8399999935646","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","36","63915","0.0-11.0-0.5","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","370.7949999952689","sequential-stimulus-presentation","37","65101","0.0-11.0-1.5","SS1613099237624","trial","","40","800","1170.7949999952689","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","null","html-keyboard-response","38","66386","0.0-11.0-0.6","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","400.98000000580214","sequential-stimulus-presentation","39","67601","0.0-11.0-1.6","SS1613099237624","trial","","40","800","1200.9800000058021","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_20_B_b.gif","left",""
"","null","html-keyboard-response","40","68457","0.0-11.0-0.7","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","292.17999998945743","sequential-stimulus-presentation","41","69564","0.0-11.0-1.7","SS1613099237624","trial","","40","800","1092.1799999894574","images/stimuli/spore_stims/complex_20_B_b.gif","images/stimuli/spore_stims/complex_12_A_c.gif","","","","","1","complex_dissimilar","images/stimuli/spore_stims/complex_12_A_c.gif","right",""
"","1242.404999997234","html-keyboard-response","42","70814","0.0-12.0","SS1613099237624","pref_question","","50","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","1","","","",""
"","919.9549999902956","sequential-stimulus-presentation","43","72543","0.0-13.0","SS1613099237624","pref_reveal","","40","800","1719.9549999902956","null","null","","","","","1","","","","novel"
"","null","html-keyboard-response","44","73529","0.0-14.0-0.0","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","498.60999998054467","sequential-stimulus-presentation","45","74844","0.0-14.0-1.0","SS1613099237624","trial","","40","800","1298.6099999805447","images/stimuli/spore_stims/complex_03_A_d.gif","images/stimuli/spore_stims/complex_03_B_d.gif","","","","","2","complex_similar","images/stimuli/spore_stims/complex_03_B_d.gif","right",""
"","null","html-keyboard-response","46","76097","0.0-14.0-0.1","SS1613099237624","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
