"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":13848}]","13849","instructions","0","13852","0.0-0.0","SS1613170069241","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13888},{""page_index"":1,""viewing_time"":8255}]","22143","instructions","1","38003","0.0-1.0","SS1613170069241","instructions","","","","","","","","","","","","","","","","","","",""
"","11309","sequential-stimulus-presentation","2","50148","0.0-2.0","SS1613170069241","","","40","800","12109","null","null","","","","","","","","","","","","",""
"","10453","sequential-stimulus-presentation","3","61412","0.0-3.0","SS1613170069241","","","40","800","11253","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5941}]","5941","instructions","4","67355","0.0-4.0","SS1613170069241","instructions","","","","","","","","","","","","","","","","","","",""
"","19981","html-keyboard-response","5","87342","0.0-5.0","SS1613170069241","instructions","","49","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","","","","","","","","",""
"","4300","sequential-stimulus-presentation","6","92459","0.0-6.0","SS1613170069241","pref_reveal","","40","800","5100","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9029},{""page_index"":1,""viewing_time"":6247},{""page_index"":2,""viewing_time"":1834},{""page_index"":3,""viewing_time"":1872}]","18982","instructions","7","111443","0.0-7.0","SS1613170069241","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","112608","0.0-8.0-0.0","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6533","sequential-stimulus-presentation","9","119961","0.0-8.0-1.0","SS1613170069241","trial","","40","800","7333","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
"","null","html-keyboard-response","10","121209","0.0-8.0-0.1","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","6697","sequential-stimulus-presentation","11","128725","0.0-8.0-1.1","SS1613170069241","trial","","40","800","7497","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
"","null","html-keyboard-response","12","130038","0.0-8.0-0.2","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","8081","sequential-stimulus-presentation","13","138940","0.0-8.0-1.2","SS1613170069241","trial","","40","800","8881","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
"","null","html-keyboard-response","14","140019","0.0-8.0-0.3","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4294","sequential-stimulus-presentation","15","145133","0.0-8.0-1.3","SS1613170069241","trial","","40","800","5094","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
"","null","html-keyboard-response","16","146149","0.0-8.0-0.4","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","7490","sequential-stimulus-presentation","17","154458","0.0-8.0-1.4","SS1613170069241","trial","","40","800","8290","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
"","null","html-keyboard-response","18","155468","0.0-8.0-0.5","SS1613170069241","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5732","sequential-stimulus-presentation","19","162020","0.0-8.0-1.5","SS1613170069241","trial","","40","800","6532","images/stimuli/spore_stims/simple_11_A_a.gif","images/stimuli/spore_stims/simple_03_A_a.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","right","","","","",""
