"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","","html-keyboard-response","325","739690","0.0-58.0-0.3","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","612.2099999338388","trial","sequential-stimulus-presentation","326","741295","0.0-58.0-1.3","SS1611976444667","","40","900","1512.2099999338388","","","","17","images/stimuli/spore_stims/simple_20_A_b.gif","right","","","","",""
"","null","","html-keyboard-response","327","742298","0.0-58.0-0.4","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","400.5400000605732","trial","sequential-stimulus-presentation","328","743690","0.0-58.0-1.4","SS1611976444667","","40","900","1300.5400000605732","","","","17","images/stimuli/spore_stims/simple_20_A_b.gif","right","","","","",""
"","null","","html-keyboard-response","329","744663","0.0-58.0-0.5","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","306.8399999756366","trial","sequential-stimulus-presentation","330","745962","0.0-58.0-1.5","SS1611976444667","","40","900","1206.8399999756366","","","","17","images/stimuli/spore_stims/simple_20_A_b.gif","right","","","","",""
"","null","","html-keyboard-response","331","747308","0.0-58.0-0.6","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","744.014999945648","trial","sequential-stimulus-presentation","332","749048","0.0-58.0-1.6","SS1611976444667","","40","900","1644.014999945648","","","","17","images/stimuli/spore_stims/simple_20_B_b.gif","left","","","","",""
"","null","","html-keyboard-response","333","750279","0.0-58.0-0.7","SS1611976444667","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","",""
"","294.010000070557","trial","sequential-stimulus-presentation","334","751565","0.0-58.0-1.7","SS1611976444667","","40","900","1194.010000070557","","","","17","images/stimuli/spore_stims/simple_20_A_b.gif","right","","","","",""
