"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":280510.00000000204}]","280511.99999999884","instructions","0","280552","0.0-0.0","SS1613013473119","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":78708.9999999989},{""page_index"":1,""viewing_time"":38896.00000000064}]","117605.99999999977","instructions","1","400164","0.0-1.0","SS1613013473119","instructions","","","","","","","","","","","","","","",""
"","380102.9999999991","sequential-stimulus-presentation","2","781082","0.0-2.0","SS1613013473119","","","40","800","380902.9999999991","null","null","","","","","","","","",""
"","24372.000000003027","sequential-stimulus-presentation","3","806263","0.0-3.0","SS1613013473119","","","40","800","25172.000000003027","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":25779.00000000233}]","25780.00000000256","instructions","4","832045","0.0-4.0","SS1613013473119","instructions","","","","","","","","","","","","","","",""
"","77627.00000000035","html-keyboard-response","5","909678","0.0-5.0","SS1613013473119","instructions","","50","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","",""
"","18221.000000001397","sequential-stimulus-presentation","6","928706","0.0-6.0","SS1613013473119","pref_reveal","","40","800","19021.000000001397","null","null","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3400.999999998021},{""page_index"":1,""viewing_time"":19472.00000000163},{""page_index"":2,""viewing_time"":1741.9999999983702},{""page_index"":3,""viewing_time"":1836.9999999995343}]","26452.999999997788","instructions","7","955162","0.0-7.0","SS1613013473119","instructions","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","956468","0.0-8.0-0.0","SS1613013473119","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","15788.000000000466","sequential-stimulus-presentation","9","973067","0.0-8.0-1.0","SS1613013473119","trial","","40","800","16588.000000000466","images/stimuli/spore_stims/simple_19_A_c.gif","images/stimuli/spore_stims/simple_19_B_c.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_19_B_c.gif","middle",""
"","null","html-keyboard-response","10","973875","0.0-8.0-0.1","SS1613013473119","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
"","3075.0000000006985","sequential-stimulus-presentation","11","977764","0.0-8.0-1.1","SS1613013473119","trial","","40","800","3875.0000000006985","images/stimuli/spore_stims/simple_19_A_c.gif","images/stimuli/spore_stims/simple_19_B_c.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_19_B_c.gif","middle",""
"","null","html-keyboard-response","12","978939","0.0-8.0-0.2","SS1613013473119","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","",""
