"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed"
"[{""page_index"":0,""viewing_time"":7095.525000011548},{""page_index"":1,""viewing_time"":1128.9999999571592}]","8225.98999994807","instructions","instructions","0","8228","0.0-0.0","SS1611939887166","","","","","","","","","",""
"","1869.7249998804182","","sequential-stimulus-presentation","1","11016","0.0-1.0","SS1611939887166","","40","900","2769.724999880418","","","","","",""
"","461.8249998893589","","sequential-stimulus-presentation","2","12385","0.0-2.0","SS1611939887166","","40","900","1361.8249998893589","","","","","",""
"[{""page_index"":0,""viewing_time"":1738.0100002046674}]","1738.6750001460314","instructions","instructions","3","14126","0.0-3.0","SS1611939887166","","","","","","","","","",""
"","2482.730000047013","instructions","html-keyboard-response","4","16618","0.0-4.0","SS1611939887166","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","","",""
"","6762.299999827519","pref_reveal","sequential-stimulus-presentation","5","24290","0.0-5.0","SS1611939887166","","40","900","7662.299999827519","","","","","",""
"[{""page_index"":0,""viewing_time"":2080.0550000276417},{""page_index"":1,""viewing_time"":319.45499987341464},{""page_index"":2,""viewing_time"":631.3450001180172},{""page_index"":3,""viewing_time"":528.5799999255687}]","3560.025000013411","instructions","instructions","6","27855","0.0-6.0","SS1611939887166","","","","","","","","","",""
"","null","","html-keyboard-response","7","29147","0.0-7.0-0.0","SS1611939887166","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","578.4100000746548","trial","sequential-stimulus-presentation","8","30633","0.0-7.0-1.0","SS1611939887166","","40","900","1478.4100000746548","","","","0","images/stimuli/spore_stims/complex_19_B_c.gif","right"
"","null","","html-keyboard-response","9","31461","0.0-7.0-0.1","SS1611939887166","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","337.3350000474602","trial","sequential-stimulus-presentation","10","32711","0.0-7.0-1.1","SS1611939887166","","40","900","1237.3350000474602","","","","0","images/stimuli/spore_stims/complex_19_B_c.gif","right"
"","null","","html-keyboard-response","11","33752","0.0-7.0-0.2","SS1611939887166","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
