"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":3824.5800000149757}]","3827.045000041835","instructions","0","3831","0.0-0.0","SS1613138251747","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2600.06499994779},{""page_index"":1,""viewing_time"":18115.560000005644}]","20716.589999967255","instructions","1","26556","0.0-1.0","SS1613138251747","instructions","","","","","","","","","","","","","","","","","","",""
"","6070.584999979474","sequential-stimulus-presentation","2","33456","0.0-2.0","SS1613138251747","","","40","800","6870.584999979474","null","null","","","","","","","","","","","","",""
"","1496.9149999669753","sequential-stimulus-presentation","3","35774","0.0-3.0","SS1613138251747","","","40","800","2296.9149999669753","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3460.3599999682046}]","3461.9049999746494","instructions","4","39241","0.0-4.0","SS1613138251747","instructions","","","","","","","","","","","","","","","","","","",""
"","10959.284999989904","html-keyboard-response","5","50213","0.0-5.0","SS1613138251747","instructions","","50","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","","","","","","","","",""
"","2319.344999967143","sequential-stimulus-presentation","6","53375","0.0-6.0","SS1613138251747","pref_reveal","","40","800","3119.344999967143","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2531.69999999227},{""page_index"":1,""viewing_time"":1394.5199999725446},{""page_index"":2,""viewing_time"":1745.1449999934994},{""page_index"":3,""viewing_time"":1889.835000038147}]","7562.734999984968","instructions","7","60943","0.0-7.0","SS1613138251747","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","61951","0.0-8.0-0.0","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1528.0449999845587","sequential-stimulus-presentation","9","64342","0.0-8.0-1.0","SS1613138251747","trial","","40","800","2328.0449999845587","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","10","65427","0.0-8.0-0.1","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","4614.240000024438","sequential-stimulus-presentation","11","70909","0.0-8.0-1.1","SS1613138251747","trial","","40","800","5414.240000024438","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","12","71867","0.0-8.0-0.2","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","698.3599999803118","sequential-stimulus-presentation","13","73463","0.0-8.0-1.2","SS1613138251747","trial","","40","800","1498.3599999803118","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","14","74656","0.0-8.0-0.3","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","261.29500003298745","sequential-stimulus-presentation","15","75788","0.0-8.0-1.3","SS1613138251747","trial","","40","800","1061.2950000329874","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","16","77135","0.0-8.0-0.4","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","997.5350000313483","sequential-stimulus-presentation","17","78959","0.0-8.0-1.4","SS1613138251747","trial","","40","800","1797.5350000313483","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_02_A_a.gif","right","","","","",""
"","null","html-keyboard-response","18","80139","0.0-8.0-0.5","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","953.7949999794364","sequential-stimulus-presentation","19","81918","0.0-8.0-1.5","SS1613138251747","trial","","40","800","1753.7949999794364","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","20","83076","0.0-8.0-0.6","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","683.0949999857694","sequential-stimulus-presentation","21","84578","0.0-8.0-1.6","SS1613138251747","trial","","40","800","1483.0949999857694","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","null","html-keyboard-response","22","85708","0.0-8.0-0.7","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","16.30499999737367","sequential-stimulus-presentation","23","86551","0.0-8.0-1.7","SS1613138251747","trial","","40","800","816.3049999973737","images/stimuli/spore_stims/simple_02_A_a.gif","images/stimuli/spore_stims/simple_09_B_c.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_09_B_c.gif","middle","","","","",""
"","235.14000000432134","html-keyboard-response","24","86827","0.0-9.0","SS1613138251747","pref_question","","50","","","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","2","middle","45%","0","","","","","","","",""
"","1208.4850000101142","sequential-stimulus-presentation","25","88932","0.0-10.0","SS1613138251747","pref_reveal","","40","800","2008.4850000101142","null","null","","","","","0","","","","background","","","",""
"","null","html-keyboard-response","26","90058","0.0-11.0-0.0","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","656.3849999802187","sequential-stimulus-presentation","27","91555","0.0-11.0-1.0","SS1613138251747","trial","","40","800","1456.3849999802187","images/stimuli/spore_stims/complex_16_B_a.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_16_A_a.gif","middle","","","","",""
"","null","html-keyboard-response","28","92378","0.0-11.0-0.1","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1267.195000022184","sequential-stimulus-presentation","29","94483","0.0-11.0-1.1","SS1613138251747","trial","","40","800","2067.195000022184","images/stimuli/spore_stims/complex_16_B_a.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_16_A_a.gif","middle","","","","",""
"","null","html-keyboard-response","30","95554","0.0-11.0-0.2","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","257.95999995898455","sequential-stimulus-presentation","31","96653","0.0-11.0-1.2","SS1613138251747","trial","","40","800","1057.9599999589846","images/stimuli/spore_stims/complex_16_B_a.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_16_A_a.gif","middle","","","","",""
"","null","html-keyboard-response","32","97935","0.0-11.0-0.3","SS1613138251747","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2159.9150000256486","sequential-stimulus-presentation","33","100950","0.0-11.0-1.3","SS1613138251747","trial","","40","800","2959.9150000256486","images/stimuli/spore_stims/complex_16_B_a.gif","images/stimuli/spore_stims/complex_16_A_a.gif","","","","","1","complex_similar","images/stimuli/spore_stims/complex_16_A_a.gif","middle","","","","",""
