"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":14413.34999999981}]","14415.289999999914","instructions","0","14420","0.0-0.0","SS1613139910775","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7415.600000000268},{""page_index"":1,""viewing_time"":12881.42499999958}]","20297.70000000007","instructions","1","36722","0.0-1.0","SS1613139910775","instructions","","","","","","","","","","","","","","","","","","",""
"","15060.269999999946","sequential-stimulus-presentation","2","52598","0.0-2.0","SS1613139910775","","","40","800","15860.269999999946","null","null","","","","","","","","","","","","",""
"","4686.50499999967","sequential-stimulus-presentation","3","58099","0.0-3.0","SS1613139910775","","","40","800","5486.50499999967","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3044.2800000000716}]","3045.2649999997375","instructions","4","61146","0.0-4.0","SS1613139910775","instructions","","","","","","","","","","","","","","","","","","",""
"","13193.009999999951","html-keyboard-response","5","74352","0.0-5.0","SS1613139910775","instructions","","49","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","","","","","","","","",""
"","2614.3199999996577","sequential-stimulus-presentation","6","77780","0.0-6.0","SS1613139910775","pref_reveal","","40","800","3414.3199999996577","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3495.275000000227},{""page_index"":1,""viewing_time"":4377.765000000189},{""page_index"":2,""viewing_time"":2245.034999999916},{""page_index"":3,""viewing_time"":1901.6149999997579}]","12021.015000000276","instructions","7","89804","0.0-7.0","SS1613139910775","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","90947","0.0-8.0-0.0","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2069.714999999618","sequential-stimulus-presentation","9","93828","0.0-8.0-1.0","SS1613139910775","trial","","40","800","2869.714999999618","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","10","94828","0.0-8.0-0.1","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2374.1350000000384","sequential-stimulus-presentation","11","98013","0.0-8.0-1.1","SS1613139910775","trial","","40","800","3174.1350000000384","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","12","99173","0.0-8.0-0.2","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","839.7000000004191","sequential-stimulus-presentation","13","100824","0.0-8.0-1.2","SS1613139910775","trial","","40","800","1639.700000000419","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","14","101700","0.0-8.0-0.3","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1512.8350000004575","sequential-stimulus-presentation","15","104023","0.0-8.0-1.3","SS1613139910775","trial","","40","800","2312.8350000004575","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","16","104940","0.0-8.0-0.4","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","733.8700000000244","sequential-stimulus-presentation","17","106488","0.0-8.0-1.4","SS1613139910775","trial","","40","800","1533.8700000000244","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","18","107640","0.0-8.0-0.5","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","2343.599999999249","sequential-stimulus-presentation","19","110796","0.0-8.0-1.5","SS1613139910775","trial","","40","800","3143.599999999249","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","20","111884","0.0-8.0-0.6","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","183.44500000058906","sequential-stimulus-presentation","21","112886","0.0-8.0-1.6","SS1613139910775","trial","","40","800","983.4450000005891","images/stimuli/spore_stims/simple_12_A_d.gif","images/stimuli/spore_stims/simple_12_B_d.gif","","","","","0","simple_similar","images/stimuli/spore_stims/simple_12_B_d.gif","middle","","","","",""
"","null","html-keyboard-response","22","113803","0.0-8.0-0.7","SS1613139910775","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
