"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":6828.104999993229}]","6828.580000001239","instructions","0","6830","0.0-0.0","SS1613082074341","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11166.889999993145},{""page_index"":1,""viewing_time"":7740.755000006175}]","18907.829999981914","instructions","1","27746","0.0-1.0","SS1613082074341","instructions","","","","","","","","","","","","","","","","","","",""
"","12734.594999987166","sequential-stimulus-presentation","2","41289","0.0-2.0","SS1613082074341","","","40","800","13534.594999987166","null","null","","","","","","","","","","","","",""
"","5363.510000024689","sequential-stimulus-presentation","3","47457","0.0-3.0","SS1613082074341","","","40","800","6163.510000024689","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6645.465000008699}]","6645.630000013625","instructions","4","54103","0.0-4.0","SS1613082074341","instructions","","","","","","","","","","","","","","","","","","",""
"","15920.630000007804","html-keyboard-response","5","70025","0.0-5.0","SS1613082074341","instructions","","97","","","","","<video width ='960' height = '540' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","1","left","25%","","","","","","","","",""
"","5564.379999996163","sequential-stimulus-presentation","6","76401","0.0-6.0","SS1613082074341","pref_reveal","","40","800","6364.379999996163","null","null","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19552.564999990864},{""page_index"":1,""viewing_time"":10842.37500000745},{""page_index"":2,""viewing_time"":2129.225000011502},{""page_index"":3,""viewing_time"":2056.9550000072923}]","34581.29500001087","instructions","7","110983","0.0-7.0","SS1613082074341","instructions","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","8","111916","0.0-8.0-0.0","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","9170.470000011846","sequential-stimulus-presentation","9","121897","0.0-8.0-1.0","SS1613082074341","trial","","40","800","9970.470000011846","images/stimuli/spore_stims/simple_20_A_c.gif","images/stimuli/spore_stims/simple_12_A_d.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","10","122763","0.0-8.0-0.1","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","7825.729999982286","sequential-stimulus-presentation","11","131400","0.0-8.0-1.1","SS1613082074341","trial","","40","800","8625.729999982286","images/stimuli/spore_stims/simple_20_A_c.gif","images/stimuli/spore_stims/simple_12_A_d.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","12","132560","0.0-8.0-0.2","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5953.059999999823","sequential-stimulus-presentation","13","139328","0.0-8.0-1.2","SS1613082074341","trial","","40","800","6753.059999999823","images/stimuli/spore_stims/simple_20_A_c.gif","images/stimuli/spore_stims/simple_12_A_d.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","14","140566","0.0-8.0-0.3","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","5412.010000000009","sequential-stimulus-presentation","15","146792","0.0-8.0-1.3","SS1613082074341","trial","","40","800","6212.010000000009","images/stimuli/spore_stims/simple_20_A_c.gif","images/stimuli/spore_stims/simple_12_A_d.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_12_A_d.gif","middle","","","","",""
"","null","html-keyboard-response","16","148047","0.0-8.0-0.4","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","19493.4699999867","sequential-stimulus-presentation","17","168353","0.0-8.0-1.4","SS1613082074341","trial","","40","800","20293.4699999867","images/stimuli/spore_stims/simple_20_A_c.gif","images/stimuli/spore_stims/simple_12_A_d.gif","","","","","0","simple_dissimilar","images/stimuli/spore_stims/simple_20_A_c.gif","left","","","","",""
"","null","html-keyboard-response","18","169207","0.0-8.0-0.5","SS1613082074341","","","null","","","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
