"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":2629.5849999878556}]","2630.044999998063","instructions","0","2631","0.0-0.0","SS1612926941149",""
"[{""page_index"":0,""viewing_time"":4476.4650000142865},{""page_index"":1,""viewing_time"":6887.859999958891}]","11364.584999973886","instructions","1","15998","0.0-1.0","SS1612926941149","instructions"
