"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","1976","0.0-0.0","SS1680620556722","","","","","","","","","","","","","",""
"","survey-text","1","13539","0.0-1.0","SS1680620556722","11559.899999976158","{""Age"":""297"",""Gender"":""F""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","35347","0.0-2.0","SS1680620556722","21805.100000023842","","stimuli/audio/music_intro.wav","32","","","","","","","","","",""
"","html-keyboard-response","3","37492","0.0-3.0","SS1680620556722","2144.1999999284744","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","32","","","","","","","","","",""
"","html-keyboard-response","4","84937","0.0-4.0","SS1680620556722","47447.39999997616","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","109634","0.0-5.0","SS1680620556722","24697.5","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","116152","0.0-6.0","SS1680620556722","6517.100000023842","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","132711","0.0-7.0","SS1680620556722","16559.699999928474","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","146816","0.0-8.0","SS1680620556722","14104.700000047684","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","159319","0.0-9.0","SS1680620556722","12502.700000047684","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","199606","0.0-10.0","SS1680620556722","40289","","","","[{""page_index"":0,""viewing_time"":40288.800000071526}]","","","","","","","","",""
"","video-keyboard-response","11","217835","0.0-11.0","SS1680620556722","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","222497","0.0-12.0","SS1680620556722","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","292616","0.0-13.0","SS1680620556722","null","","[""stimuli/images/unity_stims/unitystims_005_Left_2fam_background_2_new.mp4""]","null","","trial","29","1","1","background","2","stimuli/images/unity_stims/unitystims_005_Left_2fam_background_2_new.mp4","",""
"","html-keyboard-response","14","293642","0.0-14.0","SS1680620556722","1025.7999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","15","298256","0.0-15.0","SS1680620556722","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","368421","0.0-16.0","SS1680620556722","null","","[""stimuli/images/unity_stims/unitystims_003_Right_2fam_deviant_2_new.mp4""]","null","","trial","29","1","2","deviant","2","stimuli/images/unity_stims/unitystims_003_Right_2fam_deviant_2_new.mp4","",""
"","html-keyboard-response","17","369415","0.0-17.0","SS1680620556722","993.3999999761581","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","18","374009","0.0-18.0","SS1680620556722","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","437877","0.0-19.0","SS1680620556722","63868.39999997616","","[""stimuli/images/unity_stims/unitystims_006_Left_6fam_deviant_1_new.mp4""]","40","","trial","29","1","3","deviant","6","stimuli/images/unity_stims/unitystims_006_Left_6fam_deviant_1_new.mp4","",""
"","html-keyboard-response","20","438268","0.0-20.0","SS1680620556722","390.60000002384186","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","21","442896","0.0-21.0","SS1680620556722","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","487548","0.0-22.0","SS1680620556722","44652.39999997616","","[""stimuli/images/unity_stims/unitystims_002_Right_4fam_background_2_new.mp4""]","40","","trial","29","1","4","background","4","stimuli/images/unity_stims/unitystims_002_Right_4fam_background_2_new.mp4","",""
"","html-keyboard-response","23","497385","0.0-23.0","SS1680620556722","9837.299999952316","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","24","502022","0.0-24.0","SS1680620556722","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","25","541784","0.0-25.0","SS1680620556722","39761.60000002384","","[""stimuli/images/unity_stims/unitystims_001_Left_6fam_background_1_new.mp4""]","40","","trial","29","1","5","background","6","stimuli/images/unity_stims/unitystims_001_Left_6fam_background_1_new.mp4","",""
"","html-keyboard-response","26","546238","0.0-26.0","SS1680620556722","4453.600000023842","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
