"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","1771","0.0-0.0","SS1680203000675","","","","","","","","","","","","","",""
"","survey-text","1","3441","0.0-1.0","SS1680203000675","1668.300000011921","{""Age"":""239"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","14939","0.0-2.0","SS1680203000675","11496.800000011921","","stimuli/audio/music_intro.wav","39","","","","","","","","","",""
"","html-keyboard-response","3","19689","0.0-3.0","SS1680203000675","4749","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","74272","0.0-4.0","SS1680203000675","54582.89999997616","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","120846","0.0-5.0","SS1680203000675","46572.89999997616","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","6","130926","0.0-6.0","SS1680203000675","10080.100000023842","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","7","149195","0.0-7.0","SS1680203000675","18268.200000047684","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","165666","0.0-8.0","SS1680203000675","16470.30000001192","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","184588","0.0-9.0","SS1680203000675","18921.5","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","232782","0.0-10.0","SS1680203000675","48192.80000001192","","","","[{""page_index"":0,""viewing_time"":48192.30000001192}]","","","","","","","","",""
"","video-keyboard-response","11","251026","0.0-11.0","SS1680203000675","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","255696","0.0-12.0","SS1680203000675","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","297290","0.0-13.0","SS1680203000675","41592.80000001192","","[""stimuli/images/unity_stims/unitystims_003_Left_4fam_deviant_1_new.mp4""]","40","","trial","21","4","1","deviant","4","stimuli/images/unity_stims/unitystims_003_Left_4fam_deviant_1_new.mp4","",""
"","html-keyboard-response","14","297828","0.0-14.0","SS1680203000675","537.3000000119209","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","15","302488","0.0-15.0","SS1680203000675","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","362022","0.0-16.0","SS1680203000675","59532.200000047684","","[""stimuli/images/unity_stims/unitystims_002_Right_6fam_background_1_new.mp4""]","39","","trial","21","4","2","background","6","stimuli/images/unity_stims/unitystims_002_Right_6fam_background_1_new.mp4","",""
"","html-keyboard-response","17","362357","0.0-17.0","SS1680203000675","334.69999998807907","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","18","366991","0.0-18.0","SS1680203000675","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","414289","0.0-19.0","SS1680203000675","47296.90000003576","","[""stimuli/images/unity_stims/unitystims_006_Right_4fam_background_2_new.mp4""]","39","","trial","21","4","3","background","4","stimuli/images/unity_stims/unitystims_006_Right_4fam_background_2_new.mp4","",""
"","html-keyboard-response","20","418066","0.0-20.0","SS1680203000675","3777.100000023842","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","","","",""
"","video-keyboard-response","21","422704","0.0-21.0","SS1680203000675","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","464869","0.0-22.0","SS1680203000675","42163.200000047684","","[""stimuli/images/unity_stims/unitystims_001_Left_6fam_deviant_2_new.mp4""]","39","","trial","21","4","4","deviant","6","stimuli/images/unity_stims/unitystims_001_Left_6fam_deviant_2_new.mp4","",""
