success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,responses,stimulus,key_press,view_history,stimulus_type,subject_num,condition_num,block_number,block_type,fam_duration,stimulus_displayed,response,question_order
TRUE,fullscreen,0,187981,0.0-0.0,SS1679928838283,,,,,,,,,,,,,,
,survey-text,1,221275,0.0-1.0,SS1679928838283,33278.9,"{""Age"":""245"",""Gender"":""F""}",,,,,,,,,,,,
,audio-keyboard-response,2,226776,0.0-2.0,SS1679928838283,5479.2,,stimuli/audio/music_intro.wav,39,,,,,,,,,,
,html-keyboard-response,3,229193,0.0-3.0,SS1679928838283,2415.7,,<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,4,342438,0.0-4.0,SS1679928838283,113244.3,,<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,5,357865,0.0-5.0,SS1679928838283,15426.2,,<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,6,372050,0.0-6.0,SS1679928838283,14183.9,,<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,7,384343,0.0-7.0,SS1679928838283,12291.8,,<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,8,385068,0.0-8.0,SS1679928838283,723.9,,<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,html-keyboard-response,9,390009,0.0-9.0,SS1679928838283,4939.9,,<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>,39,,,,,,,,,,
,instructions,10,414047,0.0-10.0,SS1679928838283,24037.4,,,,"[{""page_index"":0,""viewing_time"":24037}]",,,,,,,,,
,video-keyboard-response,11,432313,0.0-11.0,SS1679928838283,null,,"[""stimuli/images/calibration.mp4""]",null,,calibration,,,,,,,,
,video-keyboard-response,12,436966,0.0-12.0,SS1679928838283,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,13,507133,0.0-13.0,SS1679928838283,null,,"[""stimuli/images/unity_stims/unitystims_005_Left_2fam_background_2_new.mp4""]",null,,trial,12,1,1,background,2,stimuli/images/unity_stims/unitystims_005_Left_2fam_background_2_new.mp4,,
,html-keyboard-response,14,509113,0.0-14.0,SS1679928838283,1975.6,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,15,513764,0.0-15.0,SS1679928838283,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,16,581916,0.0-16.0,SS1679928838283,68149.9,,"[""stimuli/images/unity_stims/unitystims_002_Left_2fam_deviant_2_new.mp4""]",39,,trial,12,1,2,deviant,2,stimuli/images/unity_stims/unitystims_002_Left_2fam_deviant_2_new.mp4,,
,html-keyboard-response,17,583365,0.0-17.0,SS1679928838283,1447.1,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,18,588032,0.0-18.0,SS1679928838283,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,19,647408,0.0-19.0,SS1679928838283,59372.3,,"[""stimuli/images/unity_stims/unitystims_004_Right_6fam_deviant_1_new.mp4""]",39,,trial,12,1,3,deviant,6,stimuli/images/unity_stims/unitystims_004_Right_6fam_deviant_1_new.mp4,,
,html-keyboard-response,20,648414,0.0-20.0,SS1679928838283,1003.8,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,21,653069,0.0-21.0,SS1679928838283,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
,video-keyboard-response,22,688022,0.0-22.0,SS1679928838283,34949.1,,"[""stimuli/images/unity_stims/unitystims_006_Right_4fam_background_1_new.mp4""]",39,,trial,12,1,4,background,4,stimuli/images/unity_stims/unitystims_006_Right_4fam_background_1_new.mp4,,
,html-keyboard-response,23,689390,0.0-23.0,SS1679928838283,1367.3,,"<p><img src=""stimuli/images/attngetter_blank.png""></p>",39,,between_block,,,,,,,,
,video-keyboard-response,24,694043,0.0-24.0,SS1679928838283,null,,"[""stimuli/images/attngetter_quiet.mp4""]",null,,attention_getter,,,,,,,,
