"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"","null","","html-keyboard-response","257","423842","0.0-46.0-0.6","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","794.0800000214949","trial","sequential-stimulus-presentation","258","425595","0.0-46.0-1.6","SS1611940976610","","40","900","1694.080000021495","","","","13","images/stimuli/spore_stims/complex_14_A_b.gif","left",""
"","null","","html-keyboard-response","259","426932","0.0-46.0-0.7","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1178.1599998939782","trial","sequential-stimulus-presentation","260","429066","0.0-46.0-1.7","SS1611940976610","","40","900","2078.1599998939782","","","","13","images/stimuli/spore_stims/complex_14_A_b.gif","left",""
"","1635.6399999931455","pref_question","html-keyboard-response","261","430754","0.0-47.0","SS1611940976610","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","13","","",""
"","1738.8899999205023","pref_reveal","sequential-stimulus-presentation","262","433447","0.0-48.0","SS1611940976610","","40","900","2638.8899999205023","","","","13","","","deviant"
"","null","","html-keyboard-response","263","434552","0.0-49.0-0.0","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","867.8300000028685","trial","sequential-stimulus-presentation","264","436378","0.0-49.0-1.0","SS1611940976610","","40","900","1767.8300000028685","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","265","437441","0.0-49.0-0.1","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","295.0349999591708","trial","sequential-stimulus-presentation","266","438692","0.0-49.0-1.1","SS1611940976610","","40","900","1195.0349999591708","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","267","439974","0.0-49.0-0.2","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","173.10999997425824","trial","sequential-stimulus-presentation","268","441105","0.0-49.0-1.2","SS1611940976610","","40","900","1073.1099999742582","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","269","442222","0.0-49.0-0.3","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","365.9899999620393","trial","sequential-stimulus-presentation","270","443543","0.0-49.0-1.3","SS1611940976610","","40","900","1265.9899999620393","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","271","444435","0.0-49.0-0.4","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1104.2550000129268","trial","sequential-stimulus-presentation","272","446495","0.0-49.0-1.4","SS1611940976610","","40","900","2004.2550000129268","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","273","447801","0.0-49.0-0.5","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","736.9150000158697","trial","sequential-stimulus-presentation","274","449500","0.0-49.0-1.5","SS1611940976610","","40","900","1636.9150000158697","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","275","450445","0.0-49.0-0.6","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","313.4549999376759","trial","sequential-stimulus-presentation","276","451719","0.0-49.0-1.6","SS1611940976610","","40","900","1213.454999937676","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","277","452995","0.0-49.0-0.7","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","412.08000003825873","trial","sequential-stimulus-presentation","278","454365","0.0-49.0-1.7","SS1611940976610","","40","900","1312.0800000382587","","","","14","images/stimuli/spore_stims/simple_17_B_c.gif","middle",""
"","null","","html-keyboard-response","279","455626","0.0-49.0-0.8","SS1611940976610","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","607.810000074096","trial","sequential-stimulus-presentation","280","457196","0.0-49.0-1.8","SS1611940976610","","40","900","1507.810000074096","","","","14","images/stimuli/spore_stims/simple_12_B_d.gif","left",""
"","1941.8099999893457","pref_question","html-keyboard-response","281","459190","0.0-50.0","SS1611940976610","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","14","","",""
"","915.7450000056997","pref_reveal","sequential-stimulus-presentation","282","461067","0.0-51.0","SS1611940976610","","40","900","1815.7450000056997","","","","14","","","novel"
