"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","null","","html-keyboard-response","103","197977","0.0-22.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1437.6150000025518","trial","sequential-stimulus-presentation","104","200125","0.0-22.0-1.3","SS1612117478452","","40","700","2137.615000002552","","","","5","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","105","201359","0.0-22.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","842.6049999980023","trial","sequential-stimulus-presentation","106","202908","0.0-22.0-1.4","SS1612117478452","","40","700","1542.6049999980023","","","","5","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","107","203743","0.0-22.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","922.1250000009604","trial","sequential-stimulus-presentation","108","205372","0.0-22.0-1.5","SS1612117478452","","40","700","1622.1250000009604","","","","5","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","null","","html-keyboard-response","109","206244","0.0-22.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","2080.4749999988417","trial","sequential-stimulus-presentation","110","209031","0.0-22.0-1.6","SS1612117478452","","40","700","2780.4749999988417","","","","5","complex_dissimilar","images/stimuli/spore_stims/complex_01_A_c.gif","middle","","","","",""
"","null","","html-keyboard-response","111","209897","0.0-22.0-0.7","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","840.1400000002468","trial","sequential-stimulus-presentation","112","211445","0.0-22.0-1.7","SS1612117478452","","40","700","1540.1400000002468","","","","5","complex_dissimilar","images/stimuli/spore_stims/complex_07_A_a.gif","right","","","","",""
"","1700.1349999991362","pref_question","html-keyboard-response","113","213147","0.0-23.0","SS1612117478452","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","5","","","","","","","",""
"","2003.035000001546","pref_reveal","sequential-stimulus-presentation","114","215855","0.0-24.0","SS1612117478452","","40","700","2703.035000001546","","","","5","","","","novel","","","",""
"","null","","html-keyboard-response","115","217137","0.0-25.0-0.0","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1513.025000000198","trial","sequential-stimulus-presentation","116","219360","0.0-25.0-1.0","SS1612117478452","","40","700","2213.025000000198","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","117","220435","0.0-25.0-0.1","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1127.55499999912","trial","sequential-stimulus-presentation","118","222270","0.0-25.0-1.1","SS1612117478452","","40","700","1827.55499999912","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","119","223098","0.0-25.0-0.2","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1340.1499999999942","trial","sequential-stimulus-presentation","120","225142","0.0-25.0-1.2","SS1612117478452","","40","700","2040.1499999999942","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","121","226003","0.0-25.0-0.3","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","749.1900000022724","trial","sequential-stimulus-presentation","122","227460","0.0-25.0-1.3","SS1612117478452","","40","700","1449.1900000022724","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","left","","","","",""
"","null","","html-keyboard-response","123","228444","0.0-25.0-0.4","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","829.7249999995984","trial","sequential-stimulus-presentation","124","229981","0.0-25.0-1.4","SS1612117478452","","40","700","1529.7249999995984","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","125","231069","0.0-25.0-0.5","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1270.619999999326","trial","sequential-stimulus-presentation","126","233047","0.0-25.0-1.5","SS1612117478452","","40","700","1970.619999999326","","","","6","simple_dissimilar","images/stimuli/spore_stims/simple_17_A_b.gif","middle","","","","",""
"","null","","html-keyboard-response","127","234332","0.0-25.0-0.6","SS1612117478452","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
