"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":218840.36999999807},{""page_index"":1,""viewing_time"":639.2699999996694}]","219481.8249999953","instructions","instructions","0","219485","0.0-0.0","SS1612117450475","","","","","","","","","","","","","","","",""
"","5411.59499999776","","sequential-stimulus-presentation","1","225807","0.0-1.0","SS1612117450475","","40","900","6311.59499999776","","","","","","","","","","","",""
"","387.5199999965844","","sequential-stimulus-presentation","2","227102","0.0-2.0","SS1612117450475","","40","900","1287.5199999965844","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1931.6949999993085}]","1932.215000000724","instructions","instructions","3","229035","0.0-3.0","SS1612117450475","","","","","","","","","","","","","","","",""
"","1071.9950000056997","instructions","html-keyboard-response","4","230111","0.0-4.0","SS1612117450475","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","","","","","","",""
"","340.0850000034552","pref_reveal","sequential-stimulus-presentation","5","231358","0.0-5.0","SS1612117450475","","40","900","1240.0850000034552","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1833.4499999982654},{""page_index"":1,""viewing_time"":1489.51500000112},{""page_index"":2,""viewing_time"":783.9349999994738},{""page_index"":3,""viewing_time"":856.115000002319}]","4963.544999998703","instructions","instructions","6","236324","0.0-6.0","SS1612117450475","","","","","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","237269","0.0-7.0-0.0","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","323.22500000009313","trial","sequential-stimulus-presentation","8","238302","0.0-7.0-1.0","SS1612117450475","","40","700","1023.2250000000931","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","9","239131","0.0-7.0-0.1","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","363.45999999321066","trial","sequential-stimulus-presentation","10","240200","0.0-7.0-1.1","SS1612117450475","","40","700","1063.4599999932107","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","11","241208","0.0-7.0-0.2","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","819.6900000039022","trial","sequential-stimulus-presentation","12","242733","0.0-7.0-1.2","SS1612117450475","","40","700","1519.6900000039022","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","13","243815","0.0-7.0-0.3","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","822.0050000018091","trial","sequential-stimulus-presentation","14","245343","0.0-7.0-1.3","SS1612117450475","","40","700","1522.005000001809","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","15","246367","0.0-7.0-0.4","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","348.9499999996042","trial","sequential-stimulus-presentation","16","247422","0.0-7.0-1.4","SS1612117450475","","40","700","1048.9499999996042","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","17","248662","0.0-7.0-0.5","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","347.6250000021537","trial","sequential-stimulus-presentation","18","249718","0.0-7.0-1.5","SS1612117450475","","40","700","1047.6250000021537","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","19","250534","0.0-7.0-0.6","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","320.8100000047125","trial","sequential-stimulus-presentation","20","251563","0.0-7.0-1.6","SS1612117450475","","40","700","1020.8100000047125","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_a.gif","left","","","","",""
"","null","","html-keyboard-response","21","252815","0.0-7.0-0.7","SS1612117450475","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","411.0149999978603","trial","sequential-stimulus-presentation","22","253935","0.0-7.0-1.7","SS1612117450475","","40","700","1111.0149999978603","","","","0","complex_dissimilar","images/stimuli/spore_stims/complex_02_A_a.gif","middle","","","","",""
"","1084.2499999998836","pref_question","html-keyboard-response","23","255023","0.0-8.0","SS1612117450475","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","0","","","","","","","",""
"","383.5800000015297","pref_reveal","sequential-stimulus-presentation","24","256111","0.0-9.0","SS1612117450475","","40","700","1083.5800000015297","","","","0","","","","novel","","","",""
