"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":13598.224999848753},{""page_index"":1,""viewing_time"":4475.770000135526}]","18074.599999934435","instructions","instructions","0","18077","0.0-0.0","SS1611976652908","","","","","","","","","","",""
"","8256.724999984726","","sequential-stimulus-presentation","1","27241","0.0-1.0","SS1611976652908","","40","900","9156.724999984726","","","","","","",""
"","6481.980000156909","","sequential-stimulus-presentation","2","34626","0.0-2.0","SS1611976652908","","40","900","7381.980000156909","","","","","","",""
"[{""page_index"":0,""viewing_time"":5472.704999847338}]","5472.964999964461","instructions","instructions","3","40101","0.0-3.0","SS1611976652908","","","","","","","","","","",""
"","18261.840000050142","instructions","html-keyboard-response","4","58366","0.0-4.0","SS1611976652908","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","",""
"","8576.829999918118","pref_reveal","sequential-stimulus-presentation","5","67848","0.0-5.0","SS1611976652908","","40","900","9476.829999918118","","","","","","",""
"[{""page_index"":0,""viewing_time"":17333.784999791533},{""page_index"":1,""viewing_time"":3998.5800001304597},{""page_index"":2,""viewing_time"":1369.0599999390543},{""page_index"":3,""viewing_time"":952.1699999459088}]","23653.83500000462","instructions","instructions","6","91504","0.0-6.0","SS1611976652908","","","","","","","","","","",""
"","null","","html-keyboard-response","7","92358","0.0-7.0-0.0","SS1611976652908","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","3046.640000073239","trial","sequential-stimulus-presentation","8","96310","0.0-7.0-1.0","SS1611976652908","","40","900","3946.640000073239","","","","0","images/stimuli/spore_stims/complex_04_A_c.gif","middle",""
"","null","","html-keyboard-response","9","97158","0.0-7.0-0.1","SS1611976652908","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
