"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected","slider_start","response","stimulus_left","stimulus_right","responses"
"[{""page_index"":0,""viewing_time"":15908.509999979287},{""page_index"":1,""viewing_time"":1112.470000050962}]","17021.304999943823","instructions","instructions","0","17046","0.0-0.0","SS1611846881753","","","","","","","","","","","","","","","",""
"","675.4850000143051","","sequential-stimulus-presentation","1","18633","0.0-1.0","SS1611846881753","","40","900","1575.4850000143051","","","","","","","","","","","",""
"","1383.864999981597","","sequential-stimulus-presentation","2","20919","0.0-2.0","SS1611846881753","","40","900","2283.864999981597","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1707.7399999834597}]","1707.9749999102205","instructions","instructions","3","22629","0.0-3.0","SS1611846881753","","","","","","","","","","","","","","","",""
"","1176.2700001709163","instructions","html-keyboard-response","4","23808","0.0-4.0","SS1611846881753","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","","","","","","",""
"","334.4799999613315","pref_reveal","sequential-stimulus-presentation","5","25047","0.0-5.0","SS1611846881753","","40","900","1234.4799999613315","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1523.3499999158084},{""page_index"":1,""viewing_time"":440.110000083223},{""page_index"":2,""viewing_time"":615.2999999467283},{""page_index"":3,""viewing_time"":495.3799999784678}]","3074.375000083819","instructions","instructions","6","28125","0.0-6.0","SS1611846881753","","","","","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","29305","0.0-7.0-0.0","SS1611846881753","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","536.4800000097603","trial","sequential-stimulus-presentation","8","30748","0.0-7.0-1.0","SS1611846881753","","40","900","1436.4800000097603","","","","0","images/stimuli/spore_stims/complex_10_B_c.gif","left","","","","","",""
"","null","","html-keyboard-response","9","31638","0.0-7.0-0.1","SS1611846881753","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","302.54000006243587","trial","sequential-stimulus-presentation","10","32847","0.0-7.0-1.1","SS1611846881753","","40","900","1202.5400000624359","","","","0","images/stimuli/spore_stims/complex_10_B_c.gif","left","","","","","",""
"","null","","html-keyboard-response","11","33891","0.0-7.0-0.2","SS1611846881753","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","252.20500002615154","trial","sequential-stimulus-presentation","12","35051","0.0-7.0-1.2","SS1611846881753","","40","900","1152.2050000261515","","","","0","images/stimuli/spore_stims/complex_10_B_c.gif","left","","","","","",""
"","null","","html-keyboard-response","13","36280","0.0-7.0-0.3","SS1611846881753","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","",""
"","1211.3150001969188","trial","sequential-stimulus-presentation","14","38397","0.0-7.0-1.3","SS1611846881753","","40","900","2111.315000196919","","","","0","images/stimuli/spore_stims/complex_10_B_c.gif","left","","","","","",""
