"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed"
"[{""page_index"":0,""viewing_time"":5738.145000068471},{""page_index"":1,""viewing_time"":453.76499998383224}]","6192.804999882355","instructions","instructions","0","6196","0.0-0.0","SS1611845306768","","","","","","","","","",""
"","814.2499998211861","","sequential-stimulus-presentation","1","7925","0.0-1.0","SS1611845306768","","40","900","1714.249999821186","","","","","",""
"","378.6949999630451","","sequential-stimulus-presentation","2","9213","0.0-2.0","SS1611845306768","","40","900","1278.6949999630451","","","","","",""
"[{""page_index"":0,""viewing_time"":4436.685000080615}]","4437.249999959022","instructions","instructions","3","13653","0.0-3.0","SS1611845306768","","","","","","","","","",""
"","2387.415000004694","instructions","html-keyboard-response","4","16048","0.0-4.0","SS1611845306768","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","",""
"","881.1449999921024","pref_reveal","sequential-stimulus-presentation","5","17841","0.0-5.0","SS1611845306768","","40","900","1781.1449999921024","","","","","",""
"[{""page_index"":0,""viewing_time"":3174.3850000202656},{""page_index"":1,""viewing_time"":870.3600000590086},{""page_index"":2,""viewing_time"":961.3350001163781},{""page_index"":3,""viewing_time"":535.3249998297542}]","5542.065000161529","instructions","instructions","6","23389","0.0-6.0","SS1611845306768","","","","","","","","","",""
"","null","","html-keyboard-response","7","24571","0.0-7.0-0.0","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","317.85500003024936","trial","sequential-stimulus-presentation","8","25798","0.0-7.0-1.0","SS1611845306768","","40","900","1217.8550000302494","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","9","26696","0.0-7.0-0.1","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","293.9750000368804","trial","sequential-stimulus-presentation","10","27901","0.0-7.0-1.1","SS1611845306768","","40","900","1193.9750000368804","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","11","29172","0.0-7.0-0.2","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","934.1150000691414","trial","sequential-stimulus-presentation","12","31016","0.0-7.0-1.2","SS1611845306768","","40","900","1834.1150000691414","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","13","32140","0.0-7.0-0.3","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","350.06999992765486","trial","sequential-stimulus-presentation","14","33401","0.0-7.0-1.3","SS1611845306768","","40","900","1250.0699999276549","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","15","34697","0.0-7.0-0.4","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","318.7550001312047","trial","sequential-stimulus-presentation","16","35929","0.0-7.0-1.4","SS1611845306768","","40","900","1218.7550001312047","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","17","36944","0.0-7.0-0.5","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","239.6599999628961","trial","sequential-stimulus-presentation","18","38097","0.0-7.0-1.5","SS1611845306768","","40","900","1139.659999962896","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","19","38939","0.0-7.0-0.6","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","277.98000001348555","trial","sequential-stimulus-presentation","20","40128","0.0-7.0-1.6","SS1611845306768","","40","900","1177.9800000134856","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","21","41344","0.0-7.0-0.7","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","236.25500011257827","trial","sequential-stimulus-presentation","22","42495","0.0-7.0-1.7","SS1611845306768","","40","900","1136.2550001125783","","","","0","images/stimuli/spore_stims/simple_11_B_c.gif","middle"
"","null","","html-keyboard-response","23","43763","0.0-7.0-0.8","SS1611845306768","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","",""
"","253.47999995574355","trial","sequential-stimulus-presentation","24","44931","0.0-7.0-1.8","SS1611845306768","","40","900","1153.4799999557436","","","","0","images/stimuli/spore_stims/simple_11_A_c.gif","left"
"","1548.7450000364333","pref_question","html-keyboard-response","25","46489","0.0-8.0","SS1611845306768","","51","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","3","right","0","",""
