"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":8851.465000014286},{""page_index"":1,""viewing_time"":4819.4450000009965}]","13672.829999995884","instructions","instructions","0","13696","0.0-0.0","SS1612117481059","","","","","","","","","","","",""
"","6392.489999998361","","sequential-stimulus-presentation","1","20999","0.0-1.0","SS1612117481059","","40","900","7292.489999998361","","","","","","","",""
"","1671.7699999862816","","sequential-stimulus-presentation","2","23578","0.0-2.0","SS1612117481059","","40","900","2571.7699999862816","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5210.479999979725}]","5211.009999999078","instructions","instructions","3","28791","0.0-3.0","SS1612117481059","","","","","","","","","","","",""
"","9550.36999998265","instructions","html-keyboard-response","4","38346","0.0-4.0","SS1612117481059","","50","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","2","middle","","","","",""
"","2456.269999995129","pref_reveal","sequential-stimulus-presentation","5","41713","0.0-5.0","SS1612117481059","","40","900","3356.269999995129","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6556.684999988647},{""page_index"":1,""viewing_time"":3980.4650000005495},{""page_index"":2,""viewing_time"":1008.880000008503},{""page_index"":3,""viewing_time"":814.9149999953806}]","12361.509999987902","instructions","instructions","6","54077","0.0-6.0","SS1612117481059","","","","","","","","","","","",""
"","null","","html-keyboard-response","7","54973","0.0-7.0-0.0","SS1612117481059","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","",""
"","7567.394999990938","trial","sequential-stimulus-presentation","8","63252","0.0-7.0-1.0","SS1612117481059","","40","700","8267.394999990938","","","","0","simple_similar","images/stimuli/spore_stims/simple_02_A_d.gif","right",""
"","null","","html-keyboard-response","9","64509","0.0-7.0-0.1","SS1612117481059","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","",""
"","1708.6899999994785","trial","sequential-stimulus-presentation","10","66929","0.0-7.0-1.1","SS1612117481059","","40","700","2408.6899999994785","","","","0","simple_similar","images/stimuli/spore_stims/simple_02_A_d.gif","right",""
"","null","","html-keyboard-response","11","68058","0.0-7.0-0.2","SS1612117481059","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","",""
"","1739.4250000070315","trial","sequential-stimulus-presentation","12","70505","0.0-7.0-1.2","SS1612117481059","","40","700","2439.4250000070315","","","","0","simple_similar","images/stimuli/spore_stims/simple_02_A_d.gif","right",""
"","null","","html-keyboard-response","13","71405","0.0-7.0-0.3","SS1612117481059","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","",""
"","2931.4700000104494","trial","sequential-stimulus-presentation","14","75045","0.0-7.0-1.3","SS1612117481059","","40","700","3631.4700000104494","","","","0","simple_similar","images/stimuli/spore_stims/simple_02_A_d.gif","right",""
"","null","","html-keyboard-response","15","76095","0.0-7.0-0.4","SS1612117481059","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","",""
"","450.94500001869164","trial","sequential-stimulus-presentation","16","77254","0.0-7.0-1.4","SS1612117481059","","40","700","1150.9450000186916","","","","0","simple_similar","images/stimuli/spore_stims/simple_02_A_d.gif","right",""
