"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":1313.0550002679229},{""page_index"":1,""viewing_time"":1601.7350000329316}]","2915.1200000196695","instructions","instructions","0","2952","0.0-0.0","SS1611969439469","","","","","","","","","","",""
"","6536.694999784231","","sequential-stimulus-presentation","1","10401","0.0-1.0","SS1611969439469","","40","900","7436.694999784231","","","","","","",""
"","4567.730000242591","","sequential-stimulus-presentation","2","15872","0.0-2.0","SS1611969439469","","40","900","5467.730000242591","","","","","","",""
"[{""page_index"":0,""viewing_time"":2598.2099999673665}]","2598.445000126958","instructions","instructions","3","18473","0.0-3.0","SS1611969439469","","","","","","","","","","",""
"","20363.390000071377","instructions","html-keyboard-response","4","38841","0.0-4.0","SS1611969439469","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","",""
"","2287.324999924749","pref_reveal","sequential-stimulus-presentation","5","42036","0.0-5.0","SS1611969439469","","40","900","3187.324999924749","","","","","","",""
"[{""page_index"":0,""viewing_time"":10212.300000246614},{""page_index"":1,""viewing_time"":3554.1449999436736},{""page_index"":2,""viewing_time"":1180.9350000694394},{""page_index"":3,""viewing_time"":1070.0699998997152}]","16017.725000157952","instructions","instructions","6","58057","0.0-6.0","SS1611969439469","","","","","","","","","","",""
"","null","","html-keyboard-response","7","59307","0.0-7.0-0.0","SS1611969439469","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","4102.905000094324","trial","sequential-stimulus-presentation","8","64317","0.0-7.0-1.0","SS1611969439469","","40","900","5002.905000094324","","","","0","images/stimuli/spore_stims/complex_11_A_b.gif","middle",""
"","null","","html-keyboard-response","9","65263","0.0-7.0-0.1","SS1611969439469","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
