"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","wall_pref","location","location_percent","block_number","block_type","stimulus_displayed","position_displayed","stim_type_selected","responses","question_order","stimulus_left","stimulus_right"
"","370.01000001328066","sequential-stimulus-presentation","189","301691","0.0-38.0-1.0","SS1613020801957","trial","","40","800","1170.0100000132807","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","190","302545","0.0-38.0-0.1","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","188.32999997539446","sequential-stimulus-presentation","191","303545","0.0-38.0-1.1","SS1613020801957","trial","","40","800","988.3299999753945","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","192","304700","0.0-38.0-0.2","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","398.29000004101545","sequential-stimulus-presentation","193","305906","0.0-38.0-1.2","SS1613020801957","trial","","40","800","1198.2900000410154","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","194","307025","0.0-38.0-0.3","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","348.9749999716878","sequential-stimulus-presentation","195","308181","0.0-38.0-1.3","SS1613020801957","trial","","40","800","1148.9749999716878","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","196","309137","0.0-38.0-0.4","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","615.810000046622","sequential-stimulus-presentation","197","310558","0.0-38.0-1.4","SS1613020801957","trial","","40","800","1415.810000046622","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","198","311552","0.0-38.0-0.5","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","323.15499999094754","sequential-stimulus-presentation","199","312686","0.0-38.0-1.5","SS1613020801957","trial","","40","800","1123.1549999909475","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","200","313501","0.0-38.0-0.6","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","480.97500001313165","sequential-stimulus-presentation","201","314792","0.0-38.0-1.6","SS1613020801957","trial","","40","800","1280.9750000131316","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_B_c.gif","right","","","","",""
"","null","html-keyboard-response","202","315990","0.0-38.0-0.7","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","358.21999999461696","sequential-stimulus-presentation","203","317159","0.0-38.0-1.7","SS1613020801957","trial","","40","800","1158.219999994617","","","","","10","simple_similar","images/stimuli/spore_stims/simple_15_A_c.gif","middle","","","","",""
"","1265.4099999926984","html-keyboard-response","204","318429","0.0-39.0","SS1613020801957","pref_question","","51","","","<video width ='960' height = '540' style='padding-top:8%' autoplay muted><source src='images/stimuli/wall_pref.mp4' type='video/mp4'></video>","3","right","66%","10","","","","","","","",""
"","24038.284999958705","sequential-stimulus-presentation","205","343273","0.0-40.0","SS1613020801957","pref_reveal","","40","800","24838.284999958705","","","","","10","","","","background","","","",""
"","null","html-keyboard-response","206","344411","0.0-41.0-0.0","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","225.51000001840293","sequential-stimulus-presentation","207","345442","0.0-41.0-1.0","SS1613020801957","trial","","40","800","1025.510000018403","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
"","null","html-keyboard-response","208","346283","0.0-41.0-0.1","SS1613020801957","","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","","","","","","","",""
"","1194.889999984298","sequential-stimulus-presentation","209","348290","0.0-41.0-1.1","SS1613020801957","trial","","40","800","1994.889999984298","","","","","11","simple_similar","images/stimuli/spore_stims/simple_20_B_b.gif","middle","","","","",""
