subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1619125619115,7,simple_dissimilar,4,background,background,simple,simple_05_A,1482.2500000009313,forced_long,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,1,background,background,simple,simple_04_A,981.6100000170991,forced_short,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,2,background,background,simple,simple_04_A,221.42000001622364,forced_short,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,3,background,background,simple,simple_04_A,757.4150000000373,forced_short,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,4,background,background,simple,simple_04_A,1043.504999979632,forced_short,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,5,background,background,simple,simple_04_A,906.440000020666,forced_short,second half,0,background,NA,NA
SS1619125619115,8,simple_dissimilar,6,background,background,simple,simple_04_A,1151.6699999920093,forced_short,second half,0,background,NA,NA
SS1619125619115,9,complex_dissimilar,1,background,background,complex,complex_18_A,741.5299999993294,forced_short,second half,2,background,2,5
SS1619125619115,9,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_16_A,1296.5550000080839,forced_short,second half,2,first_deviant,2,5
SS1619125619115,9,complex_dissimilar,3,background,background,complex,complex_18_A,3695.7650000113063,forced_short,second half,2,background,2,5
SS1619125619115,9,complex_dissimilar,4,background,background,complex,complex_18_A,533.5100000083912,forced_short,second half,2,background,2,5
SS1619125619115,9,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_16_A,3231.520000001183,forced_short,second half,2,second_deviant,2,5
SS1619125619115,10,complex_dissimilar,1,background,background,complex,complex_17_A,384.5750000036787,forced_long,second half,0,background,NA,NA
SS1619125619115,10,complex_dissimilar,2,background,background,complex,complex_17_A,1045.4999999783468,forced_long,second half,0,background,NA,NA
SS1619125619115,10,complex_dissimilar,3,background,background,complex,complex_17_A,780.4949999845121,forced_long,second half,0,background,NA,NA
SS1619125619115,10,complex_dissimilar,4,background,background,complex,complex_17_A,1867.5349999975879,forced_long,second half,0,background,NA,NA
SS1619125619115,11,simple_dissimilar,1,background,background,simple,simple_10_A,125.44000000343658,self_paced,second half,1,background,4,NA
SS1619125619115,11,simple_dissimilar,2,background,background,simple,simple_10_A,52.59499998646788,self_paced,second half,1,background,4,NA
SS1619125642562,0,complex_dissimilar,1,background,background,complex,complex_01_A,644,forced_long,first half,1,background,2,NA
SS1619125642562,0,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_20_A,2412,forced_long,first half,1,first_deviant,2,NA
SS1619125642562,0,complex_dissimilar,3,background,background,complex,complex_01_A,82,forced_long,first half,1,background,2,NA
SS1619125642562,0,complex_dissimilar,4,background,background,complex,complex_01_A,9063,forced_long,first half,1,background,2,NA
SS1619125642562,0,complex_dissimilar,5,background,background,complex,complex_01_A,173,forced_long,first half,1,background,2,NA
SS1619125642562,1,complex_dissimilar,1,background,background,complex,complex_11_A,1146,self_paced,first half,2,background,4,6
SS1619125642562,1,complex_dissimilar,2,background,background,complex,complex_11_A,213,self_paced,first half,2,background,4,6
SS1619125642562,1,complex_dissimilar,3,background,background,complex,complex_11_A,342,self_paced,first half,2,background,4,6
