subject,age,ethnicity,gender,education
SS1619125619115,19,White,Male,Some high school
SS1619125642562,19,White,Male,High school diploma
SS1619204435390,32,White,Male,Master's Degree
SS1619204697535,21,White,Male,Associate Degree/Technical certification
SS1619204991008,19,White,Male,High school diploma
SS1619205050011,25,White,Female,Bachelor's Degree
SS1619205130204,26,Hispanic or Latino,Male,High school diploma
SS1619205247663,35,White,Female,Associate Degree/Technical certification
SS1619205373323,20,White,Male,Some high school
SS1619205402694,27,White,Male,Bachelor's Degree
SS1619205453890,21,White,Male,High school diploma
SS1619205453897,23,White,Female,Master's Degree
SS1619205504013,20,White,Male,High school diploma
SS1619205530598,42,White,Female,High school diploma
SS1619205544508,18,White,Male,High school diploma
SS1619205567965,34,Hispanic or Latino,Female,Master's Degree
SS1619205742558,24,Hispanic or Latino,Male,Associate Degree/Technical certification
SS1619205748764,27,Hispanic or Latino,Male,Bachelor's Degree
SS1619205753092,23,White,Male,High school diploma
SS1619205771711,27,Hispanic or Latino,Male,Bachelor's Degree
SS1619205955626,20,White,Male,High school diploma
