"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"[{""page_index"":0,""viewing_time"":13462}]","13462","instructions","0","13464","0.0-0.0","SS1619115137440","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3119},{""page_index"":1,""viewing_time"":11145}]","14265","instructions","1","29745","0.0-1.0","SS1619115137440","instructions","","","","","","","","","","","","","",""
"","6553","sequential-stimulus-presentation-old","2","36826","0.0-2.0","SS1619115137440","","","40","500","7053","null","null","self_paced","","","","","","",""
"","53","sequential-stimulus-presentation-old","3","37397","0.0-3.0","SS1619115137440","","","40","500","553","null","null","self_paced","","","","","","",""
"[{""page_index"":0,""viewing_time"":31683}]","31683","instructions","4","69084","0.0-4.0","SS1619115137440","instructions","","","","","","","","","","","","","",""
"","6397","sequential-stimulus-presentation-old","5","85499","0.0-5.0","SS1619115137440","","","40","500","6897","null","null","forced_long","","","","","","",""
"","143","sequential-stimulus-presentation-old","6","85754","0.0-6.0","SS1619115137440","","","40","500","643","null","null","forced_long","","","","","","",""
"[{""page_index"":0,""viewing_time"":4872}]","4874","instructions","7","90634","0.0-7.0","SS1619115137440","instructions","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7892},{""page_index"":1,""viewing_time"":3149},{""page_index"":2,""viewing_time"":2125},{""page_index"":3,""viewing_time"":3878},{""page_index"":4,""viewing_time"":5521}]","22565","instructions","8","113217","0.0-8.0","SS1619115137440","instructions","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","114252","0.0-9.0-0.0","SS1619115137440","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","2079","sequential-stimulus-presentation-old","10","116437","0.0-9.0-1.0","SS1619115137440","trial","","40","500","2579","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","",""
"","null","html-keyboard-response","11","117460","0.0-9.0-0.1","SS1619115137440","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","692","sequential-stimulus-presentation-old","12","118673","0.0-9.0-1.1","SS1619115137440","trial","","40","500","1192","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","",""
"","null","html-keyboard-response","13","119942","0.0-9.0-0.2","SS1619115137440","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","309","sequential-stimulus-presentation-old","14","120758","0.0-9.0-1.2","SS1619115137440","trial","","40","500","809","images/stimuli/spore_stims/complex_20_A_a.gif","images/stimuli/spore_stims/complex_14_A_b.gif","forced_short","","0","complex_dissimilar","images/stimuli/spore_stims/complex_14_A_b.gif","","",""
"","null","html-keyboard-response","15","121689","0.0-9.0-0.3","SS1619115137440","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
