subject,block_number,block_type,forced_exposure_time,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1646459694618,5,complex,500,memory,4,1,background,500,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459694618,5,complex,500,memory,4,2,background,3753.699999988079,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459694618,5,complex,500,memory,4,3,background,1256.5,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459694618,5,complex,500,memory,4,4,deviant,995.6999999880791,images/stimuli/complex_10_A_a.gif,memory_novel,TRUE
SS1646459694618,5,complex,500,memory,4,5,background,1031.699999988079,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459694618,5,complex,500,memory,4,6,background,554.6999999880791,images/stimuli/complex_20_A_a.gif,memory_novel,TRUE
SS1646459694618,6,complex,10000,memory,NA,1,background,10000,images/stimuli/complex_05_A_a.gif,memory_novel,FALSE
SS1646459694618,6,complex,10000,memory,NA,2,background,3055.0999999940395,images/stimuli/complex_05_A_a.gif,memory_background,TRUE
SS1646459694618,6,complex,10000,memory,NA,3,background,1241.7000000178814,images/stimuli/complex_05_A_a.gif,memory_background,TRUE
SS1646459694618,6,complex,10000,memory,NA,4,background,1021.5999999940395,images/stimuli/complex_05_A_a.gif,memory_background,TRUE
SS1646459694618,6,complex,10000,memory,NA,5,background,1283.5999999940395,images/stimuli/complex_05_A_a.gif,memory_background,TRUE
SS1646459694618,6,complex,10000,memory,NA,6,background,2438.5999999940395,images/stimuli/complex_05_A_a.gif,memory_background,TRUE
SS1646459694618,7,complex,500,memory,NA,1,background,500,images/stimuli/complex_09_A_a.gif,memory_novel,FALSE
SS1646459694618,7,complex,500,memory,NA,2,background,5471.5,images/stimuli/complex_09_A_a.gif,memory_background,TRUE
SS1646459694618,7,complex,500,memory,NA,3,background,1356.5,images/stimuli/complex_09_A_a.gif,memory_background,TRUE
SS1646459694618,7,complex,500,memory,NA,4,background,747.6999999880791,images/stimuli/complex_09_A_a.gif,memory_background,TRUE
SS1646459694618,7,complex,500,memory,NA,5,background,1744.9000000059605,images/stimuli/complex_09_A_a.gif,memory_background,TRUE
SS1646459694618,7,complex,500,memory,NA,6,background,1476.4000000059605,images/stimuli/complex_09_A_a.gif,memory_background,TRUE
SS1646459694618,8,simple,500,memory,2,1,background,500,images/stimuli/simple_12_A_a.gif,memory_novel,FALSE
SS1646459694618,8,simple,500,memory,2,2,deviant,3922.4000000059605,images/stimuli/simple_03_A_a.gif,memory_background,TRUE
SS1646459694618,8,simple,500,memory,2,3,background,1936.2000000178814,images/stimuli/simple_12_A_a.gif,memory_background,TRUE
SS1646459694618,8,simple,500,memory,2,4,background,1006.4000000059605,images/stimuli/simple_12_A_a.gif,memory_background,TRUE
SS1646459694618,8,simple,500,memory,2,5,background,1377.2999999821186,images/stimuli/simple_12_A_a.gif,memory_background,TRUE
SS1646459694618,8,simple,500,memory,2,6,background,1227.5,images/stimuli/simple_12_A_a.gif,memory_background,TRUE
SS1646459697010,1,simple,10000,memory,2,1,background,10000,images/stimuli/simple_15_A_a.gif,memory_novel,TRUE
SS1646459697010,1,simple,10000,memory,2,2,deviant,12673.400000002235,images/stimuli/simple_05_A_a.gif,memory_novel,TRUE
SS1646459697010,1,simple,10000,memory,2,3,background,5310.300000000745,images/stimuli/simple_15_A_a.gif,memory_novel,TRUE
SS1646459697010,1,simple,10000,memory,2,4,background,4623.5,images/stimuli/simple_15_A_a.gif,memory_novel,TRUE
SS1646459697010,1,simple,10000,memory,2,5,background,4677.599999997765,images/stimuli/simple_15_A_a.gif,memory_novel,TRUE
SS1646459697010,1,simple,10000,memory,2,6,background,4789.5,images/stimuli/simple_15_A_a.gif,memory_novel,TRUE
SS1646459697010,2,simple,500,memory,2,1,background,500,images/stimuli/simple_20_A_a.gif,memory_novel,FALSE
SS1646459697010,2,simple,500,memory,2,2,deviant,6822.599999997765,images/stimuli/simple_04_A_a.gif,memory_background,TRUE
SS1646459697010,2,simple,500,memory,2,3,background,4155.699999999255,images/stimuli/simple_20_A_a.gif,memory_background,TRUE
SS1646459697010,2,simple,500,memory,2,4,background,2527.699999999255,images/stimuli/simple_20_A_a.gif,memory_background,TRUE
SS1646459697010,2,simple,500,memory,2,5,background,744.3000000007451,images/stimuli/simple_20_A_a.gif,memory_background,TRUE
SS1646459697010,2,simple,500,memory,2,6,background,1952.8999999985099,images/stimuli/simple_20_A_a.gif,memory_background,TRUE
SS1646459697010,3,simple,500,memory,6,1,background,500,images/stimuli/simple_13_A_a.gif,memory_novel,FALSE
SS1646459697010,3,simple,500,memory,6,2,background,4587.60000000149,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697010,3,simple,500,memory,6,3,background,1611.800000000745,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697010,3,simple,500,memory,6,4,background,1186.0999999977648,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697010,3,simple,500,memory,6,5,background,1816,images/stimuli/simple_13_A_a.gif,memory_background,TRUE
SS1646459697010,3,simple,500,memory,6,6,deviant,2361.099999997765,images/stimuli/simple_16_A_a.gif,memory_background,TRUE
SS1646459697010,4,complex,10000,memory,4,1,background,10000,images/stimuli/complex_03_A_a.gif,memory_novel,FALSE
SS1646459697010,4,complex,10000,memory,4,2,background,6646.099999997765,images/stimuli/complex_03_A_a.gif,memory_background,TRUE
SS1646459697010,4,complex,10000,memory,4,3,background,4106.800000000745,images/stimuli/complex_03_A_a.gif,memory_background,TRUE
SS1646459697010,4,complex,10000,memory,4,4,deviant,5053.199999999255,images/stimuli/complex_01_A_a.gif,memory_background,TRUE
SS1646459697010,4,complex,10000,memory,4,5,background,3817.199999999255,images/stimuli/complex_03_A_a.gif,memory_background,TRUE
