"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"5719.29999999702","{""p_id"":""60e2595bdc9a5e6ee00f02d8""}","survey-text","0","5738","0.0-0.0","SS1646459697680","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","8785","0.0-1.0","SS1646459697680","true","","","","","","","","","","","","","","","","","",""
"7074.099999997765","","instructions","2","15860","0.0-2.0","SS1646459697680","","[{""page_index"":0,""viewing_time"":7073.29999999702}]","","","","","","","","","","","","","","","","",""
"35057.10000000149","","instructions","3","52920","0.0-3.0","SS1646459697680","","[{""page_index"":0,""viewing_time"":16081.800000000745},{""page_index"":1,""viewing_time"":4773.89999999851},{""page_index"":2,""viewing_time"":14200.900000002235}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","4","53923","0.0-4.0","SS1646459697680","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","5","54200","0.0-5.0","SS1646459697680","","","","","null","","500","500","null","null","forced","270","","","","","","",""
"null","","html-keyboard-response","6","55211","0.0-6.0","SS1646459697680","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"6643.699999999255","","stimuli-presentation","7","60844","0.0-7.0","SS1646459697680","","","","","40","","500","7143.699999999255","null","null","forced","270","","","","","","",""
"4759.60000000149","","stimuli-presentation","8","66118","0.0-8.0","SS1646459697680","","","","","40","","500","5259.60000000149","null","null","self_paced","0","","","","","","",""
"1246.300000000745","","stimuli-presentation","9","67870","0.0-9.0","SS1646459697680","","","","","40","","500","1746.300000000745","null","null","self_paced","0","","","","","","",""
"2634.89999999851","","instructions","10","70506","0.0-10.0","SS1646459697680","","[{""page_index"":0,""viewing_time"":2634.5}]","instructions","","","","","","","","","","","","","","","",""
"15988.60000000149","","instructions","11","86497","0.0-11.0","SS1646459697680","","[{""page_index"":0,""viewing_time"":11599},{""page_index"":1,""viewing_time"":2550.5},{""page_index"":2,""viewing_time"":957.8999999985099},{""page_index"":3,""viewing_time"":880.8000000007451}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","12","87500","0.0-12.0","SS1646459697680","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","13","88004","0.0-13.0","SS1646459697680","","","","","null","","500","500","null","null","forced","500","","","","","","",""
"null","","html-keyboard-response","14","89017","0.0-14.0","SS1646459697680","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","15","90275","0.0-15.0-0.0","SS1646459697680","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"5911.5","","stimuli-presentation","16","93916","0.0-15.0-1.0","SS1646459697680","","","trial","","40","","500","6411.5","null","null","forced","500","0","simple","500","images/stimuli/simple_12_A_a.gif","","",""
"null","","html-keyboard-response","17","95107","0.0-15.0-0.1","SS1646459697680","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"2589.199999999255","","stimuli-presentation","18","98202","0.0-15.0-1.1","SS1646459697680","","","trial","","40","","500","3089.199999999255","images/stimuli/simple_20_A_a.gif","images/stimuli/simple_12_A_a.gif","self-paced","500","0","simple","500","images/stimuli/simple_12_A_a.gif","","",""
