"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"54.69999998807907","","stimuli-presentation","80","192276","0.0-35.0-1.4","SS1646459694618","","","trial","","40","","500","554.6999999880791","images/stimuli/complex_10_A_a.gif","images/stimuli/complex_20_A_a.gif","self-paced","500","4","complex","500","images/stimuli/complex_20_A_a.gif","","",""
"2325.899999976158","{""Q0"":""No""}","survey-multi-choice","81","194603","0.0-36.0","SS1646459694618","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/complex_19_A_a.gif","4"
"null","","html-keyboard-response","82","195622","0.0-37.0","SS1646459694618","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","83","205632","0.0-38.0","SS1646459694618","","","","","null","","500","500","null","null","forced","10000","","","","","","",""
"null","","html-keyboard-response","84","206634","0.0-39.0","SS1646459694618","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","85","207809","0.0-40.0-0.0","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"2555.0999999940395","","stimuli-presentation","86","208187","0.0-40.0-1.0","SS1646459694618","","","trial","","40","","500","3055.0999999940395","null","null","forced","10000","5","complex","10000","images/stimuli/complex_05_A_a.gif","","",""
"null","","html-keyboard-response","87","209278","0.0-40.0-0.1","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"741.7000000178814","","stimuli-presentation","88","210522","0.0-40.0-1.1","SS1646459694618","","","trial","","40","","500","1241.7000000178814","images/stimuli/complex_15_A_a.gif","images/stimuli/complex_05_A_a.gif","self-paced","10000","5","complex","10000","images/stimuli/complex_05_A_a.gif","","",""
"null","","html-keyboard-response","89","211700","0.0-40.0-0.2","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"521.5999999940395","","stimuli-presentation","90","212723","0.0-40.0-1.2","SS1646459694618","","","trial","","40","","500","1021.5999999940395","images/stimuli/complex_15_A_a.gif","images/stimuli/complex_05_A_a.gif","self-paced","10000","5","complex","10000","images/stimuli/complex_05_A_a.gif","","",""
"null","","html-keyboard-response","91","213884","0.0-40.0-0.3","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"783.5999999940395","","stimuli-presentation","92","215171","0.0-40.0-1.3","SS1646459694618","","","trial","","40","","500","1283.5999999940395","images/stimuli/complex_15_A_a.gif","images/stimuli/complex_05_A_a.gif","self-paced","10000","5","complex","10000","images/stimuli/complex_05_A_a.gif","","",""
"null","","html-keyboard-response","93","216014","0.0-40.0-0.4","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"1938.5999999940395","","stimuli-presentation","94","218460","0.0-40.0-1.4","SS1646459694618","","","trial","","40","","500","2438.5999999940395","images/stimuli/complex_15_A_a.gif","images/stimuli/complex_05_A_a.gif","self-paced","10000","5","complex","10000","images/stimuli/complex_05_A_a.gif","","",""
"2342.0999999940395","{""Q0"":""Yes""}","survey-multi-choice","95","220803","0.0-41.0","SS1646459694618","","","memory_test","","","","","","","","","","","","","","[0]","images/stimuli/complex_05_A_a.gif","5"
"null","","html-keyboard-response","96","221818","0.0-42.0","SS1646459694618","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","97","222328","0.0-43.0","SS1646459694618","","","","","null","","500","500","null","null","forced","500","","","","","","",""
"null","","html-keyboard-response","98","223333","0.0-44.0","SS1646459694618","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","99","224235","0.0-45.0-0.0","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"4971.5","","stimuli-presentation","100","227299","0.0-45.0-1.0","SS1646459694618","","","trial","","40","","500","5471.5","null","null","forced","500","6","complex","500","images/stimuli/complex_09_A_a.gif","","",""
"null","","html-keyboard-response","101","228147","0.0-45.0-0.1","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"856.5","","stimuli-presentation","102","229515","0.0-45.0-1.1","SS1646459694618","","","trial","","40","","500","1356.5","images/stimuli/complex_08_A_a.gif","images/stimuli/complex_09_A_a.gif","self-paced","500","6","complex","500","images/stimuli/complex_09_A_a.gif","","",""
"null","","html-keyboard-response","103","230590","0.0-45.0-0.2","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"247.69999998807907","","stimuli-presentation","104","231347","0.0-45.0-1.2","SS1646459694618","","","trial","","40","","500","747.6999999880791","images/stimuli/complex_08_A_a.gif","images/stimuli/complex_09_A_a.gif","self-paced","500","6","complex","500","images/stimuli/complex_09_A_a.gif","","",""
"null","","html-keyboard-response","105","232383","0.0-45.0-0.3","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"1244.9000000059605","","stimuli-presentation","106","234131","0.0-45.0-1.3","SS1646459694618","","","trial","","40","","500","1744.9000000059605","images/stimuli/complex_08_A_a.gif","images/stimuli/complex_09_A_a.gif","self-paced","500","6","complex","500","images/stimuli/complex_09_A_a.gif","","",""
"null","","html-keyboard-response","107","235364","0.0-45.0-0.4","SS1646459694618","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
