"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","view_history","stimulus_type","stimulus","key_press","trial_stimulus","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","block_number","block_type","block_exposure_length","stimulus_displayed","question_order","question_stimuli","block_index"
"52567","{""p_id"":""5b8c8e7d0c740e00019d55c3""}","survey-text","0","52641","0.0-0.0","SS1646459940425","","","","","","","","","","","","","","","","","","",""
"","","fullscreen","1","79366","0.0-1.0","SS1646459940425","true","","","","","","","","","","","","","","","","","",""
"208786.39999997616","","instructions","2","288157","0.0-2.0","SS1646459940425","","[{""page_index"":0,""viewing_time"":208785.5}]","","","","","","","","","","","","","","","","",""
"30697.200000047684","","instructions","3","320868","0.0-3.0","SS1646459940425","","[{""page_index"":0,""viewing_time"":22840.80000001192},{""page_index"":1,""viewing_time"":5019.900000035763},{""page_index"":2,""viewing_time"":2836.099999964237}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","4","321877","0.0-4.0","SS1646459940425","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","5","322085","0.0-5.0","SS1646459940425","","","","","null","","500","500","null","null","forced","190","","","","","","",""
"null","","html-keyboard-response","6","323089","0.0-6.0","SS1646459940425","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"3919.100000023842","","stimuli-presentation","7","326003","0.0-7.0","SS1646459940425","","","","","40","","500","4419.100000023842","null","null","forced","190","","","","","","",""
"3697","","stimuli-presentation","8","330204","0.0-8.0","SS1646459940425","","","","","40","","500","4197","null","null","self_paced","0","","","","","","",""
"1908.800000011921","","stimuli-presentation","9","332627","0.0-9.0","SS1646459940425","","","","","40","","500","2408.800000011921","null","null","self_paced","0","","","","","","",""
"26496.5","","instructions","10","359125","0.0-10.0","SS1646459940425","","[{""page_index"":0,""viewing_time"":26496.19999998808}]","instructions","","","","","","","","","","","","","","","",""
"6017.800000011921","","instructions","11","365145","0.0-11.0","SS1646459940425","","[{""page_index"":0,""viewing_time"":2213.300000011921},{""page_index"":1,""viewing_time"":1256},{""page_index"":2,""viewing_time"":1392.0999999642372},{""page_index"":3,""viewing_time"":1155.9000000357628}]","instructions","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","12","366155","0.0-12.0","SS1646459940425","","","","Watch carefully!","null","","","","","","","","","","","","","",""
"null","","stimuli-presentation","13","376171","0.0-13.0","SS1646459940425","","","","","null","","500","500","null","null","forced","10000","","","","","","",""
"null","","html-keyboard-response","14","377175","0.0-14.0","SS1646459940425","","","","Now you can keep studying the creature.","null","","","","","","","","","","","","","",""
"null","","html-keyboard-response","15","378175","0.0-15.0-0.0","SS1646459940425","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"3752.300000011921","","stimuli-presentation","16","379923","0.0-15.0-1.0","SS1646459940425","","","trial","","40","","500","4252.300000011921","null","null","forced","10000","0","simple","10000","images/stimuli/simple_20_A_a.gif","","",""
"null","","html-keyboard-response","17","381188","0.0-15.0-0.1","SS1646459940425","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"812.6000000238419","","stimuli-presentation","18","382514","0.0-15.0-1.1","SS1646459940425","","","trial","","40","","500","1312.6000000238419","images/stimuli/simple_13_A_a.gif","images/stimuli/simple_20_A_a.gif","self-paced","10000","0","simple","10000","images/stimuli/simple_20_A_a.gif","","",""
"null","","html-keyboard-response","19","383580","0.0-15.0-0.2","SS1646459940425","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","null","","","","","","","","","","","","","",""
"244.5","","stimuli-presentation","20","384339","0.0-15.0-1.2","SS1646459940425","","","trial","","40","","500","744.5","images/stimuli/simple_13_A_a.gif","images/stimuli/simple_20_A_a.gif","self-paced","10000","0","simple","10000","images/stimuli/simple_20_A_a.gif","","",""
