"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","stimulus_displayed","response","question_order"
"true","fullscreen","0","34704","0.0-0.0","SS1690038208998","","","","","","","","","","","",""
"","survey-text","1","47209","0.0-1.0","SS1690038208998","12499.800000190735","{""Age"":""255"",""Gender"":""M""}","","","","","","","","","",""
"","audio-keyboard-response","2","70372","0.0-2.0","SS1690038208998","23161.200000047684","","stimuli/audio/music_intro.wav","39","","","","","","","",""
"","html-keyboard-response","3","73788","0.0-3.0","SS1690038208998","3414.800000190735","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","4","142502","0.0-4.0","SS1690038208998","68713.39999985695","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","5","172195","0.0-5.0","SS1690038208998","29692.60000014305","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","6","180602","0.0-6.0","SS1690038208998","8405.5","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","7","198405","0.0-7.0","SS1690038208998","17802.800000190735","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","8","199360","0.0-8.0","SS1690038208998","954.8999998569489","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","9","288434","0.0-9.0","SS1690038208998","89072.79999995232","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","instructions","10","289627","0.0-10.0","SS1690038208998","1191.7999999523163","","","","[{""page_index"":0,""viewing_time"":1191.5999999046326}]","","","","","","",""
"","video-keyboard-response","11","307929","0.0-11.0","SS1690038208998","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","",""
"","video-keyboard-response","12","312605","0.0-12.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","13","372850","0.0-13.0","SS1690038208998","null","","[""stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4""]","null","","trial","27","6","1","stimuli/images/unity_stims/veggie_01_nopose_single_new.mp4","",""
"","html-keyboard-response","14","374250","0.0-14.0","SS1690038208998","1399.2999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","32","","between_block","","","","","",""
"","video-keyboard-response","15","378974","0.0-15.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","16","427437","0.0-16.0","SS1690038208998","48460.299999952316","","[""stimuli/images/unity_stims/animate_04_left_single_new.mp4""]","39","","trial","27","6","2","stimuli/images/unity_stims/animate_04_left_single_new.mp4","",""
"","html-keyboard-response","17","427966","0.0-17.0","SS1690038208998","527.7999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","18","432689","0.0-18.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","19","465332","0.0-19.0","SS1690038208998","32641.5","","[""stimuli/images/unity_stims/animate_05_right_pair_new.mp4""]","39","","trial","27","6","3","stimuli/images/unity_stims/animate_05_right_pair_new.mp4","",""
"","html-keyboard-response","20","467301","0.0-20.0","SS1690038208998","1967.1000001430511","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","21","471999","0.0-21.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","22","510460","0.0-22.0","SS1690038208998","38459.800000190735","","[""stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4""]","39","","trial","27","6","4","stimuli/images/unity_stims/veggie_02_nopose_single_new.mp4","",""
"","html-keyboard-response","23","515220","0.0-23.0","SS1690038208998","4758.700000047684","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","",""
"","video-keyboard-response","24","519923","0.0-24.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","25","552456","0.0-25.0","SS1690038208998","32531.099999904633","","[""stimuli/images/unity_stims/animate_06_right_single_new.mp4""]","39","","trial","27","6","5","stimuli/images/unity_stims/animate_06_right_single_new.mp4","",""
"","html-keyboard-response","26","553208","0.0-26.0","SS1690038208998","750.6000001430511","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
"","video-keyboard-response","27","557906","0.0-27.0","SS1690038208998","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","28","583707","0.0-28.0","SS1690038208998","25799.099999904633","","[""stimuli/images/unity_stims/animate_03_left_pair_new.mp4""]","39","","trial","27","6","6","stimuli/images/unity_stims/animate_03_left_pair_new.mp4","",""
"","video-keyboard-response","29","606875","0.0-29.0","SS1690038208998","null","","[""stimuli/images/calibration_end.mp4""]","null","","calibration_end","","","","","",""
"","html-keyboard-response","30","623120","0.0-30.0","SS1690038208998","16243.299999952316","","<p><span style=""font-family: arial, helvetica, sans-serif; font-size: 48px; color: #993300;""> That's it! Thank you so much for your participation! </span></p>","39","","","","","","","",""
"","survey-multi-choice","31","653157","0.0-31.0","SS1690038208998","30036.5","","","","","","","","","","{""Consent"":""<b>Option 2 (Scientific and Educational)</b>: You would like to share child’s data with other researchers or students for scientific or educational purposes. </h1>""}","0"
