"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","stimulus_displayed","response","question_order"
"true","fullscreen","0","546757","0.0-0.0","SS1690310322673","","","","","","","","","","","",""
"","survey-text","1","553848","0.0-1.0","SS1690310322673","6822","{""Age"":""299"",""Gender"":""F""}","","","","","","","","","",""
"","audio-keyboard-response","2","565829","0.0-2.0","SS1690310322673","11949","","stimuli/audio/music_intro.wav","32","","","","","","","",""
"","html-keyboard-response","3","570392","0.0-3.0","SS1690310322673","4544.000000000116","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","4","657789","0.0-4.0","SS1690310322673","87375","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","5","688727","0.0-5.0","SS1690310322673","30913","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","6","700304","0.0-6.0","SS1690310322673","11572","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","7","711273","0.0-7.0","SS1690310322673","10967","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","8","712646","0.0-8.0","SS1690310322673","1371","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","html-keyboard-response","9","728249","0.0-9.0","SS1690310322673","15599","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","32","","","","","","","",""
"","instructions","10","769918","0.0-10.0","SS1690310322673","41659","","","","[{""page_index"":0,""viewing_time"":41656}]","","","","","","",""
"","video-keyboard-response","11","788738","0.0-11.0","SS1690310322673","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","",""
"","video-keyboard-response","12","793633","0.0-12.0","SS1690310322673","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","13","841337","0.0-13.0","SS1690310322673","47688","","[""stimuli/images/unity_stims/animate_06_right_single_new.mp4""]","32","","trial","29","4","1","stimuli/images/unity_stims/animate_06_right_single_new.mp4","",""
"","html-keyboard-response","14","842438","0.0-14.0","SS1690310322673","1094.9999999998836","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","32","","between_block","","","","","",""
"","video-keyboard-response","15","847298","0.0-15.0","SS1690310322673","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","16","866503","0.0-16.0","SS1690310322673","19194","","[""stimuli/images/unity_stims/animate_04_right_pair_new.mp4""]","32","","trial","29","4","2","stimuli/images/unity_stims/animate_04_right_pair_new.mp4","",""
