"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","stimulus_displayed","response","question_order"
"true","fullscreen","0","136951","0.0-0.0","SS1688050749645","","","","","","","","","","","",""
"","survey-text","1","148391","0.0-1.0","SS1688050749645","11428.800000071526","{""Age"":""242"",""Gender"":""F""}","","","","","","","","","",""
"","audio-keyboard-response","2","159026","0.0-2.0","SS1688050749645","10631.299999952316","","stimuli/audio/music_intro.wav","39","","","","","","","",""
"","html-keyboard-response","3","159717","0.0-3.0","SS1688050749645","689.6999999284744","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","4","260753","0.0-4.0","SS1688050749645","101034.69999992847","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","5","275021","0.0-5.0","SS1688050749645","14267","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","6","281189","0.0-6.0","SS1688050749645","6167.899999976158","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","7","290766","0.0-7.0","SS1688050749645","9575.699999928474","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","8","300045","0.0-8.0","SS1688050749645","9278.799999952316","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","html-keyboard-response","9","310633","0.0-9.0","SS1688050749645","10587.099999904633","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","",""
"","instructions","10","398147","0.0-10.0","SS1688050749645","87514.39999997616","","","","[{""page_index"":0,""viewing_time"":87514}]","","","","","","",""
"","video-keyboard-response","11","416370","0.0-11.0","SS1688050749645","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","",""
"","video-keyboard-response","12","421016","0.0-12.0","SS1688050749645","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","",""
"","video-keyboard-response","13","481187","0.0-13.0","SS1688050749645","null","","[""stimuli/images/unity_stims/animate_06_right_single_new.mp4""]","null","","trial","5","4","1","stimuli/images/unity_stims/animate_06_right_single_new.mp4","",""
"","html-keyboard-response","14","482138","0.0-14.0","SS1688050749645","950.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","39","","between_block","","","","","",""
