Looks.confidence,Looks.duration_onLooks,SubjectInfo.gender,SubjectInfo.sessionNumber,SubjectInfo.subjID,SubjectInfo.testAge,Trials.duration,Trials.excludeReason,Trials.excludeTrial,Trials.ordinal,Trials.trialType
0.8950402462548737,45.56939999999992,M,1,PKBB_03,316.0,47.929399999999895,,False,5,test-3-deviant
0.8133492381481383,36.84000000000003,M,1,PKBB_03,316.0,45.0,,False,6,fam-9-deviant
0.7620855454113938,5.5509999999999975,M,1,PKBB_03,316.0,19.816399999999906,,False,7,test-9-deviant
0.7410010763822324,41.20000000000001,M,1,PKBB_03,316.0,45.0,,False,8,fam-9-background
0.8060868162466258,5.581,M,1,PKBB_03,316.0,14.041400000000372,,False,9,test-9-background
0.7854814508810779,44.2,F,1,PKBB_27,274.0,45.0,,False,0,fam-9-background
,-39.94,F,1,PKBB_27,274.0,-39.94,total on-look time in trial is less than the minimum cumulative duration (min_durationOn),True,1,test-9-background
0.7782127186709885,43.08000000000001,F,1,PKBB_27,274.0,45.0,,False,2,fam-9-deviant
0.7920486786729034,34.05259999999406,F,1,PKBB_27,274.0,39.81259999999404,,False,3,test-9-deviant
0.8000140469095278,13.96,F,1,PKBB_27,274.0,15.0,,False,4,fam-3-deviant
0.7572716890122285,29.939799999982124,F,1,PKBB_27,274.0,35.099799999982125,,False,5,test-3-deviant
,5.0,F,1,PKBB_27,274.0,5.0,,False,6,fam-1-background
0.7688735491208932,38.95180000001186,F,1,PKBB_27,274.0,41.551800000011866,,False,7,test-1-background
0.8084938898186288,14.48,F,1,PKBB_27,274.0,15.0,,False,8,fam-3-background
0.8303549717547315,4.487499999999999,F,1,PKBB_27,274.0,8.2075,,False,9,test-3-background
,5.0,F,1,PKBB_27,274.0,5.0,,False,10,fam-1-deviant
0.8580950841322089,10.198200000017886,F,1,PKBB_27,274.0,17.23820000001788,,False,11,test-1-deviant
0.7270888352301329,41.24,M,1,PKBB_35,329.0,45.0,,False,0,fam-9-deviant
0.6896978331427298,23.590000000000003,M,1,PKBB_35,329.0,37.02870000004774,,False,1,test-9-deviant
0.8214142059253972,4.48,M,1,PKBB_35,329.0,5.0,,False,2,fam-1-background
0.7335771367627193,18.116900000095306,M,1,PKBB_35,329.0,23.55690000009531,,False,3,test-1-background
0.8698857580752395,9.271999999999998,M,1,PKBB_35,329.0,45.0,,False,4,fam-9-background
0.7543436015645663,6.192,M,1,PKBB_35,329.0,17.004300000071467,,False,5,test-9-background
