"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","9490","0.0-0.0","SS1654268407027","","","","","","","","","","","","","",""
"","survey-text","1","32068","0.0-1.0","SS1654268407027","22570","{""Age"":""323"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","42353","0.0-2.0","SS1654268407027","10281.099999904633","","stimuli/audio/music_intro.wav","40","","","","","","","","","",""
"","html-keyboard-response","3","46551","0.0-3.0","SS1654268407027","4194.5","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","",""
"","html-keyboard-response","4","82621","0.0-4.0","SS1654268407027","36069.39999997616","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","100756","0.0-5.0","SS1654268407027","18132.399999976158","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","",""
"","html-keyboard-response","6","109528","0.0-6.0","SS1654268407027","8771.5","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","",""
"","html-keyboard-response","7","129708","0.0-7.0","SS1654268407027","20179.700000047684","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","164337","0.0-8.0","SS1654268407027","34629.09999990463","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","180557","0.0-9.0","SS1654268407027","16219.099999904633","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","211520","0.0-10.0","SS1654268407027","30963.100000023842","","","","[{""page_index"":0,""viewing_time"":30962.899999976158}]","","","","","","","","",""
"","video-keyboard-response","11","229852","0.0-11.0","SS1654268407027","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","234603","0.0-12.0","SS1654268407027","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","269228","0.0-13.0","SS1654268407027","34623.700000047684","","[""stimuli/images/unity_stims/unitystims_003_Right_4fam_background_2_withmusic_new.mp4""]","40","","trial","10","3","1","background","4","stimuli/images/unity_stims/unitystims_003_Right_4fam_background_2_withmusic_new.mp4","",""
"","html-keyboard-response","14","270420","0.0-14.0","SS1654268407027","1190.7999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","15","275105","0.0-15.0","SS1654268407027","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","316595","0.0-16.0","SS1654268407027","41487.300000071526","","[""stimuli/images/unity_stims/unitystims_004_Right_4fam_deviant_2_withmusic_new.mp4""]","40","","trial","10","3","2","deviant","4","stimuli/images/unity_stims/unitystims_004_Right_4fam_deviant_2_withmusic_new.mp4","",""
"","html-keyboard-response","17","317802","0.0-17.0","SS1654268407027","1206.7999999523163","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","18","322456","0.0-18.0","SS1654268407027","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","346294","0.0-19.0","SS1654268407027","23836.600000023842","","[""stimuli/images/unity_stims/unitystims_001_Left_0fam_deviant_2_withmusic_new.mp4""]","40","","trial","10","3","3","deviant","0","stimuli/images/unity_stims/unitystims_001_Left_0fam_deviant_2_withmusic_new.mp4","",""
