session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
627d7e63c58830ca04475f0c,60cbd264b753e8fd852a54b7,TIMED-OUT,38:43.0,,339321.663,28,31,0,100,,,United Kingdom,South Africa,Part-Time,DATA EXPIRED,South Africa,Female,Yes
627dad518087f5d6c616aa53,61117824b50449eb95b915a3,APPROVED,59:00.1,02:37.0,216.885,23,289,2,100,13:45.1,3D699F4F,United States,United States,Part-Time,English,United States,Female,Yes
627de621bce26d3891cbdf9a,6128da24dd2b6292c122edb3,APPROVED,5/13/22 5:01,06:29.8,293.785,36,92,1,100,13:46.3,3D699F4F,South Africa,South Africa,Full-Time,Afrikaans,South Africa,Female,No
627de82ab59197d88178a71b,6121fcb6f0ca90cb620725cf,APPROVED,10:11.6,20:44.6,633.02,24,11,1,99,13:47.8,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,Yes
627def8b615f0f3c5501add8,611ce1e5ce1ee850c1dfc9eb,APPROVED,41:43.2,51:20.5,577.329,37,37,1,100,13:49.4,3D699F4F,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
627df14af8ba0646cd89e950,6129091a4488538bc7654940,APPROVED,48:58.5,57:59.2,540.666,21,28,1,100,13:50.2,3D699F4F,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
627df97105341a7aefb4d006,6130a32cd30a251765045601,APPROVED,23:50.6,32:46.0,535.385,65,340,4,98,13:51.5,3D699F4F,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
627dfbd3d4270253cc70e4c1,61140ecd6c72bb8ce54d0ac8,APPROVED,33:58.8,44:02.7,603.854,35,108,2,100,13:52.6,3D699F4F,Zimbabwe,South Africa,Full-Time,DATA EXPIRED,Zimbabwe,Male,No
627e038b4ba7da7fecf9b94b,6106a09f41078810bf622ef2,RETURNED,12:57.1,,304867.7394,24,27,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
627e03ba060577e8ba27871e,6107fb48e610a9e47fbb7e5e,APPROVED,07:38.9,12:40.8,301.832,25,79,1,99,13:53.4,3D699F4F,Czech Republic,Czech Republic,Full-Time,Czech,Czech Republic,Female,No
627e1a5364e86985c53aef2c,611d3750174eba1ae1cd159b,APPROVED,44:09.6,52:07.0,477.438,41,72,0,100,13:55.0,3D699F4F,South Africa,South Africa,Full-Time,DATA EXPIRED,South Africa,Female,Yes
627e2c6eeac94b9ef0fa12f4,611e2c6a69d241ea9793071a,APPROVED,01:18.2,07:24.3,366.083,25,287,1,100,13:55.8,3D699F4F,Germany,Germany,Full-Time,German,Germany,Female,Yes
627e588c667985dd0a2ae499,610045cb2ff361196216f064,APPROVED,09:35.4,15:23.8,348.353,24,115,1,100,13:56.4,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
627e5efac833293647eec7f6,612e802e23a385f7f9667807,APPROVED,37:00.8,41:37.2,276.421,27,68,1,97,13:57.4,3D699F4F,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
627e61bd29bd7c31f781b05a,611a7783c0d77a0213d02228,APPROVED,48:50.9,57:40.5,529.531,55,30,2,96,13:58.4,3D699F4F,Angola,Portugal,Full-Time,Portuguese,Portugal,Female,No
627e90a67294f318902bf16c,610d3bff2b585e5462ea11c0,APPROVED,09:00.4,20:12.7,672.262,47,27,0,100,48:03.1,3D699F4F,Czech Republic,Czech Republic,Part-Time,Czech,Czech Republic,Female,Yes
627eee1b8af9bf9baf3f1df0,60fdae26aca935de2a4e9f59,APPROVED,47:42.0,51:27.8,225.805,22,368,1,100,54:23.3,3D699F4F,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
627efbf4e10306b1c64fbaa8,612fab1125ea0a912c3edc62,APPROVED,46:48.3,50:25.8,217.468,23,664,3,99,54:22.2,3D699F4F,United States,United States,Other,English,United States,Female,Yes
627f59b82f9b7fad035d2adb,5e82cad7dd6f1a9fa53ce125,APPROVED,26:48.5,34:31.9,463.406,46,601,4,99,53:05.2,3D699F4F,United States,Israel,Full-Time,DATA EXPIRED,United States,Male,No
627f7e4f81c44aae23323a6e,612ca1d314d818934dfe798f,APPROVED,04:37.4,12:26.3,468.956,22,38,0,100,53:04.5,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Male,DATA EXPIRED
627f9d07f794e08a03708508,5f3a84149afb5d69102176af,APPROVED,14:36.3,19:23.6,287.318,45,54,1,99,53:03.8,3D699F4F,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
627fc8e594ed49445e1be23b,6118ea35c70b4fe510c997ad,APPROVED,21:11.7,24:28.1,196.39,26,120,1,100,27:14.4,3D699F4F,Ukraine,Czech Republic,Full-Time,Hungarian,Ukraine,Female,Yes
6280021cfd0622c80cf7678e,611e9a48014cbb342216c341,APPROVED,25:30.1,34:20.3,530.188,26,16,0,100,27:13.7,3D699F4F,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,No
6280ed7411c5464ec8835d8e,5c7c0f5fb3af1b0016984e42,APPROVED,09:31.9,13:47.4,255.466,26,69,0,100,27:12.8,3D699F4F,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
628165d56e6ca7d102058ced,5e307a080551ae02939239f3,APPROVED,43:05.1,49:02.2,357.005,23,222,4,98,44:57.1,3D699F4F,Poland,Poland,Full-Time,Polish,Poland,Female,Yes
6281efb7ed1f367fbcf7554f,6130ee389ebb2291128c51ec,APPROVED,31:23.0,36:54.6,331.54,21,77,0,100,44:55.5,3D699F4F,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
628204261fbc13e29d0096f4,612f4c6f70114026535f86cb,APPROVED,58:30.6,05:55.9,445.316,30,15,0,100,44:54.7,3D699F4F,South Africa,South Africa,DATA EXPIRED,Afrikaans,South Africa,Female,DATA EXPIRED
62828e30a3689317d7c89832,61366373954c6965f1db1e88,APPROVED,47:28.4,51:20.1,231.723,22,69,1,100,44:56.1,3D699F4F,DATA EXPIRED,Greece,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
