"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":2907}]","2909","instructions","0","2917","0.0-0.0","SS1619739834212",""
"[{""page_index"":0,""viewing_time"":3102},{""page_index"":1,""viewing_time"":4810}]","7913","instructions","1","12839","0.0-1.0","SS1619739834212","instructions"
