"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":14285}]","14286","instructions","0","14294","0.0-0.0","SS1619740072978",""
"[{""page_index"":0,""viewing_time"":18920},{""page_index"":1,""viewing_time"":8265}]","27186","instructions","1","43492","0.0-1.0","SS1619740072978","instructions"
