"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer"
"","null","html-keyboard-response","46","138529","0.0-15.0-0.1","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","2254.2799999937415","sequential-stimulus-presentation-old","47","141292","0.0-15.0-1.1","SS1619739595845","trial","","40","500","2754.2799999937415","images/stimuli/spore_stims/simple_04_A_a.gif","images/stimuli/spore_stims/simple_05_A_b.gif","self_paced","","3","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_b.gif","","",""
"","null","html-keyboard-response","48","142578","0.0-15.0-0.2","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","537.2849999985192","sequential-stimulus-presentation-old","49","143621","0.0-15.0-1.2","SS1619739595845","trial","","40","500","1037.2849999985192","images/stimuli/spore_stims/simple_04_A_a.gif","images/stimuli/spore_stims/simple_05_A_b.gif","self_paced","","3","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_b.gif","","",""
"","null","html-keyboard-response","50","144776","0.0-15.0-0.3","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","1945.3349999967031","sequential-stimulus-presentation-old","51","147232","0.0-15.0-1.3","SS1619739595845","trial","","40","500","2445.334999996703","images/stimuli/spore_stims/simple_04_A_a.gif","images/stimuli/spore_stims/simple_05_A_b.gif","self_paced","","3","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","",""
"","null","html-keyboard-response","52","148224","0.0-15.0-0.4","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","266.31500001531094","sequential-stimulus-presentation-old","53","149000","0.0-15.0-1.4","SS1619739595845","trial","","40","500","766.3150000153109","images/stimuli/spore_stims/simple_04_A_a.gif","images/stimuli/spore_stims/simple_05_A_b.gif","self_paced","","3","simple_dissimilar","images/stimuli/spore_stims/simple_05_A_b.gif","","",""
"","null","html-keyboard-response","54","149962","0.0-15.0-0.5","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
"","587.1550000156276","sequential-stimulus-presentation-old","55","151060","0.0-15.0-1.5","SS1619739595845","trial","","40","500","1087.1550000156276","images/stimuli/spore_stims/simple_04_A_a.gif","images/stimuli/spore_stims/simple_05_A_b.gif","self_paced","","3","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_a.gif","","",""
"","3306.5049999859184","survey-multi-choice","56","154368","0.0-16.0","SS1619739595845","math_question","","","","","","","","","","","","{""Q0"":""9""}","[0]","9"
"","null","html-keyboard-response","57","155616","0.0-17.0-0.0","SS1619739595845","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","",""
