"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":15246.33499999993}]","15247.894999999971","instructions","0","15251","0.0-0.0","SS1619740106985",""
"[{""page_index"":0,""viewing_time"":22284.885000000035},{""page_index"":1,""viewing_time"":16278.585000000021}]","38563.81","instructions","1","55819","0.0-1.0","SS1619740106985","instructions"
