"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":5917}]","5918","instructions","0","5923","0.0-0.0","SS1619740165729",""
"[{""page_index"":0,""viewing_time"":6803},{""page_index"":1,""viewing_time"":27442}]","34245","instructions","1","42178","0.0-1.0","SS1619740165729","instructions"
