"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":1663.0000000000002}]","1664.0000000000002","instructions","0","1666","0.0-0.0","SS1619739751740",""
"[{""page_index"":0,""viewing_time"":2058.9999999999995},{""page_index"":1,""viewing_time"":1192}]","3251.9999999999995","instructions","1","6922","0.0-1.0","SS1619739751740","instructions"
