"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":13788}]","13788","instructions","0","13789","0.0-0.0","SS1619739584196","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19581},{""page_index"":1,""viewing_time"":8352}]","27933","instructions","1","43729","0.0-1.0","SS1619739584196","instructions","","","","","","","","","","","","","","","",""
"","11795","sequential-stimulus-presentation-old","2","56028","0.0-2.0","SS1619739584196","","","40","500","12295","null","null","self_paced","","","","","","","","",""
"","8654","sequential-stimulus-presentation-old","3","65186","0.0-3.0","SS1619739584196","","","40","500","9154","null","null","self_paced","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":25531}]","25531","instructions","4","90719","0.0-4.0","SS1619739584196","instructions","","","","","","","","","","","","","","","",""
"","1792","sequential-stimulus-presentation-old","5","107527","0.0-5.0","SS1619739584196","","","40","500","2292","null","null","forced_long","","","","","","","","",""
"","2932","sequential-stimulus-presentation-old","6","110971","0.0-6.0","SS1619739584196","","","40","500","3432","null","null","forced_long","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4799}]","4799","instructions","7","115770","0.0-7.0","SS1619739584196","instructions","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13244},{""page_index"":1,""viewing_time"":10530},{""page_index"":2,""viewing_time"":43},{""page_index"":3,""viewing_time"":905},{""page_index"":2,""viewing_time"":5457},{""page_index"":3,""viewing_time"":1613},{""page_index"":4,""viewing_time"":1106}]","32898","instructions","8","148669","0.0-8.0","SS1619739584196","instructions","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","149623","0.0-9.0-0.0","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6695","sequential-stimulus-presentation-old","10","156826","0.0-9.0-1.0","SS1619739584196","trial","","40","500","7195","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","","","",""
"","null","html-keyboard-response","11","157722","0.0-9.0-0.1","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8321","sequential-stimulus-presentation-old","12","166547","0.0-9.0-1.1","SS1619739584196","trial","","40","500","8821","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","","","",""
"","null","html-keyboard-response","13","167477","0.0-9.0-0.2","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7707","sequential-stimulus-presentation-old","14","175689","0.0-9.0-1.2","SS1619739584196","trial","","40","500","8207","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_04_A_b.gif","","","","",""
"","null","html-keyboard-response","15","176766","0.0-9.0-0.3","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7964","sequential-stimulus-presentation-old","16","185232","0.0-9.0-1.3","SS1619739584196","trial","","40","500","8464","images/stimuli/spore_stims/simple_03_A_a.gif","images/stimuli/spore_stims/simple_04_A_b.gif","self_paced","","0","simple_dissimilar","images/stimuli/spore_stims/simple_03_A_a.gif","","","","",""
"","6234","survey-multi-choice","17","191470","0.0-10.0","SS1619739584196","math_question","","","","","","","","","","","","{""Q0"":""17""}","[0]","17","",""
"","null","html-keyboard-response","18","192574","0.0-11.0-0.0","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6900","sequential-stimulus-presentation-old","19","199978","0.0-11.0-1.0","SS1619739584196","trial","","40","500","7400","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_13_A_b.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_b.gif","","","","",""
"","null","html-keyboard-response","20","201057","0.0-11.0-0.1","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6255","sequential-stimulus-presentation-old","21","207827","0.0-11.0-1.1","SS1619739584196","trial","","40","500","6755","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_13_A_b.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_b.gif","","","","",""
"","null","html-keyboard-response","22","209107","0.0-11.0-0.2","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","14176","sequential-stimulus-presentation-old","23","223788","0.0-11.0-1.2","SS1619739584196","trial","","40","500","14676","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_13_A_b.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_b.gif","","","","",""
"","null","html-keyboard-response","24","224725","0.0-11.0-0.3","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6180","sequential-stimulus-presentation-old","25","231408","0.0-11.0-1.3","SS1619739584196","trial","","40","500","6680","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_13_A_b.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_b.gif","","","","",""
"","null","html-keyboard-response","26","232472","0.0-11.0-0.4","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","7167","sequential-stimulus-presentation-old","27","240145","0.0-11.0-1.4","SS1619739584196","trial","","40","500","7667","images/stimuli/spore_stims/complex_16_A_a.gif","images/stimuli/spore_stims/complex_13_A_b.gif","self_paced","","1","complex_dissimilar","images/stimuli/spore_stims/complex_13_A_b.gif","","","","",""
"","3276","survey-multi-choice","28","243423","0.0-12.0","SS1619739584196","math_question","","","","","","","","","","","","{""Q0"":""6""}","[0]","6","",""
"","null","html-keyboard-response","29","244556","0.0-13.0-0.0","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1847","sequential-stimulus-presentation-old","30","246917","0.0-13.0-1.0","SS1619739584196","trial","","40","500","2347","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_18_A_a.gif","forced_short","","2","simple_dissimilar","images/stimuli/spore_stims/simple_18_A_a.gif","","","","",""
"","null","html-keyboard-response","31","247948","0.0-13.0-0.1","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6647","sequential-stimulus-presentation-old","32","255101","0.0-13.0-1.1","SS1619739584196","trial","","40","500","7147","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_18_A_a.gif","forced_short","","2","simple_dissimilar","images/stimuli/spore_stims/simple_18_A_a.gif","","","","",""
"","null","html-keyboard-response","33","256237","0.0-13.0-0.2","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5377","sequential-stimulus-presentation-old","34","262131","0.0-13.0-1.2","SS1619739584196","trial","","40","500","5877","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_18_A_a.gif","forced_short","","2","simple_dissimilar","images/stimuli/spore_stims/simple_18_A_a.gif","","","","",""
"","null","html-keyboard-response","35","262987","0.0-13.0-0.3","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4459","sequential-stimulus-presentation-old","36","267952","0.0-13.0-1.3","SS1619739584196","trial","","40","500","4959","images/stimuli/spore_stims/simple_13_A_b.gif","images/stimuli/spore_stims/simple_18_A_a.gif","forced_short","","2","simple_dissimilar","images/stimuli/spore_stims/simple_18_A_a.gif","","","","",""
"","2908","survey-multi-choice","37","270863","0.0-14.0","SS1619739584196","math_question","","","","","","","","","","","","{""Q0"":""7""}","[0]","7","",""
"","null","html-keyboard-response","38","271884","0.0-15.0-0.0","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6762","sequential-stimulus-presentation-old","39","279149","0.0-15.0-1.0","SS1619739584196","trial","","40","500","7262","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","40","280371","0.0-15.0-0.1","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5138","sequential-stimulus-presentation-old","41","286015","0.0-15.0-1.1","SS1619739584196","trial","","40","500","5638","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","42","287303","0.0-15.0-0.2","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8279","sequential-stimulus-presentation-old","43","296088","0.0-15.0-1.2","SS1619739584196","trial","","40","500","8779","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_b.gif","","","","",""
"","null","html-keyboard-response","44","297017","0.0-15.0-0.3","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","6309","sequential-stimulus-presentation-old","45","303831","0.0-15.0-1.3","SS1619739584196","trial","","40","500","6809","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","46","305043","0.0-15.0-0.4","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","3583","sequential-stimulus-presentation-old","47","309131","0.0-15.0-1.4","SS1619739584196","trial","","40","500","4083","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","48","310364","0.0-15.0-0.5","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5657","sequential-stimulus-presentation-old","49","316527","0.0-15.0-1.5","SS1619739584196","trial","","40","500","6157","images/stimuli/spore_stims/complex_04_A_b.gif","images/stimuli/spore_stims/complex_05_A_a.gif","self_paced","","3","complex_dissimilar","images/stimuli/spore_stims/complex_04_A_b.gif","","","","",""
"","4463","survey-multi-choice","50","320992","0.0-16.0","SS1619739584196","math_question","","","","","","","","","","","","{""Q0"":""13""}","[0]","13","",""
"","null","html-keyboard-response","51","321986","0.0-17.0-0.0","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1332","sequential-stimulus-presentation-old","52","323821","0.0-17.0-1.0","SS1619739584196","trial","","40","500","1832","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","","4","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","53","325125","0.0-17.0-0.1","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","5889","sequential-stimulus-presentation-old","54","331518","0.0-17.0-1.1","SS1619739584196","trial","","40","500","6389","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","","4","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","55","332630","0.0-17.0-0.2","SS1619739584196","","","null","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","8967","sequential-stimulus-presentation-old","56","342104","0.0-17.0-1.2","SS1619739584196","trial","","40","500","9467","images/stimuli/spore_stims/complex_10_A_b.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","","4","complex_dissimilar","images/stimuli/spore_stims/complex_10_A_b.gif","","","","",""
