"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":12994.999999999996}]","12996.999999999996","instructions","0","13009","0.0-0.0","SS1619739642137",""
"[{""page_index"":0,""viewing_time"":13494.000000000007},{""page_index"":1,""viewing_time"":1577.9999999999927},{""page_index"":0,""viewing_time"":2826},{""page_index"":1,""viewing_time"":4714}]","22613","instructions","1","37631","0.0-1.0","SS1619739642137","instructions"
