"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":11504.999999999998}]","11505.999999999998","instructions","0","11510","0.0-0.0","SS1619739647618",""
"[{""page_index"":0,""viewing_time"":19129},{""page_index"":1,""viewing_time"":7091}]","26220","instructions","1","39743","0.0-1.0","SS1619739647618","instructions"
