subject,block_number,block_type,trial_number,item_type,trial_type,trial_complexity,item_id,rt,exposure_type,half,block_deviant_number,trial_type_index,first_dev_position,second_dev_position
SS1617819278525,10,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_20_A,1734.0000000000582,NA,second half,1,first_deviant,2,NA
SS1617819278525,10,simple_dissimilar,3,background,background,simple,simple_19_A,623.0000000000582,NA,second half,1,background,2,NA
SS1617819278525,10,simple_dissimilar,4,background,background,simple,simple_19_A,1518,NA,second half,1,background,2,NA
SS1617819278525,11,simple_dissimilar,1,background,background,simple,simple_18_A,4595,NA,second half,1,background,5,NA
SS1617819278525,11,simple_dissimilar,2,background,background,simple,simple_18_A,4379,NA,second half,1,background,5,NA
SS1617819278525,11,simple_dissimilar,3,background,background,simple,simple_18_A,3050,NA,second half,1,background,5,NA
SS1617819278525,11,simple_dissimilar,4,background,background,simple,simple_18_A,1579.0000000001164,NA,second half,1,background,5,NA
SS1617819278525,11,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_13_A,3400,NA,second half,1,first_deviant,5,NA
SS1617819279925,0,simple_dissimilar,1,background,background,simple,simple_16_A,4397.820000001957,NA,first half,0,background,NA,NA
SS1617819279925,0,simple_dissimilar,2,background,background,simple,simple_16_A,2909.2099999979837,NA,first half,0,background,NA,NA
SS1617819279925,0,simple_dissimilar,3,background,background,simple,simple_16_A,2809.290000001056,NA,first half,0,background,NA,NA
SS1617819279925,0,simple_dissimilar,4,background,background,simple,simple_16_A,2462.48999999807,NA,first half,0,background,NA,NA
SS1617819279925,0,simple_dissimilar,5,background,background,simple,simple_16_A,2066.4250000008906,NA,first half,0,background,NA,NA
SS1617819279925,1,complex_dissimilar,1,background,background,complex,complex_10_A,5020.479999999225,NA,first half,2,background,2,5
SS1617819279925,1,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_12_A,4836.235000002489,NA,first half,2,first_deviant,2,5
SS1617819279925,1,complex_dissimilar,3,background,background,complex,complex_10_A,3691.1399999989953,NA,first half,2,background,2,5
SS1617819279925,1,complex_dissimilar,4,background,background,complex,complex_10_A,3179.9800000007963,NA,first half,2,background,2,5
SS1617819279925,1,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_12_A,3552.915000000212,NA,first half,2,second_deviant,2,5
SS1617819279925,2,simple_dissimilar,1,background,background,simple,simple_01_A,1862.6750000003085,NA,first half,1,background,6,NA
SS1617819279925,2,simple_dissimilar,2,background,background,simple,simple_01_A,1995.4900000011548,NA,first half,1,background,6,NA
SS1617819279925,2,simple_dissimilar,3,background,background,simple,simple_01_A,1979.6649999989313,NA,first half,1,background,6,NA
SS1617819279925,2,simple_dissimilar,4,background,background,simple,simple_01_A,2515.8599999995204,NA,first half,1,background,6,NA
SS1617819279925,2,simple_dissimilar,5,background,background,simple,simple_01_A,1094.665000000532,NA,first half,1,background,6,NA
SS1617819279925,2,simple_dissimilar,6,dissimilar deviant,deviant,simple,simple_15_A,3445.7599999986996,NA,first half,1,first_deviant,6,NA
SS1617819279925,3,complex_dissimilar,1,background,background,complex,complex_02_A,4380.044999998063,NA,first half,2,background,2,6
SS1617819279925,3,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_11_A,4329.125000000175,NA,first half,2,first_deviant,2,6
SS1617819279925,3,complex_dissimilar,3,background,background,complex,complex_02_A,6063.510000000009,NA,first half,2,background,2,6
SS1617819279925,3,complex_dissimilar,4,background,background,complex,complex_02_A,2824.9849999992875,NA,first half,2,background,2,6
SS1617819279925,3,complex_dissimilar,5,background,background,complex,complex_02_A,2472.09500000102,NA,first half,2,background,2,6
SS1617819279925,3,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_11_A,3414.4450000021607,NA,first half,2,second_deviant,2,6
SS1617819279925,4,simple_dissimilar,1,background,background,simple,simple_08_A,2753.044999997597,NA,first half,0,background,NA,NA
SS1617819279925,4,simple_dissimilar,2,background,background,simple,simple_08_A,939.954999997979,NA,first half,0,background,NA,NA
SS1617819279925,4,simple_dissimilar,3,background,background,simple,simple_08_A,2539.910000003176,NA,first half,0,background,NA,NA
SS1617819279925,4,simple_dissimilar,4,background,background,simple,simple_08_A,1401.8600000017905,NA,first half,0,background,NA,NA
SS1617819279925,4,simple_dissimilar,5,background,background,simple,simple_08_A,367.7399999978952,NA,first half,0,background,NA,NA
SS1617819279925,5,complex_dissimilar,1,background,background,complex,complex_05_A,6463.465000000666,NA,first half,1,background,3,NA
SS1617819279925,5,complex_dissimilar,2,background,background,complex,complex_05_A,4460.399999999965,NA,first half,1,background,3,NA
SS1617819279925,5,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_20_A,5781.764999999781,NA,first half,1,first_deviant,3,NA
SS1617819279925,5,complex_dissimilar,4,background,background,complex,complex_05_A,5464.820000001055,NA,first half,1,background,3,NA
SS1617819279925,5,complex_dissimilar,5,background,background,complex,complex_05_A,3678.4200000002165,NA,first half,1,background,3,NA
SS1617819279925,6,simple_dissimilar,1,background,background,simple,simple_11_A,5197.280000000377,NA,second half,2,background,2,5
SS1617819279925,6,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_07_A,2649.395000000368,NA,second half,2,first_deviant,2,5
SS1617819279925,6,simple_dissimilar,3,background,background,simple,simple_11_A,4340.649999998277,NA,second half,2,background,2,5
SS1617819279925,6,simple_dissimilar,4,background,background,simple,simple_11_A,1931.980000001262,NA,second half,2,background,2,5
SS1617819279925,6,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_07_A,1255.2299999988172,NA,second half,2,second_deviant,2,5
SS1617819279925,7,complex_dissimilar,1,background,background,complex,complex_14_A,5012.904999999562,NA,second half,2,background,2,6
SS1617819279925,7,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_08_A,6963.144999997923,NA,second half,2,first_deviant,2,6
SS1617819279925,7,complex_dissimilar,3,background,background,complex,complex_14_A,2346.3450000017765,NA,second half,2,background,2,6
SS1617819279925,7,complex_dissimilar,4,background,background,complex,complex_14_A,1987.345000001369,NA,second half,2,background,2,6
SS1617819279925,7,complex_dissimilar,5,background,background,complex,complex_14_A,1888.07000000088,NA,second half,2,background,2,6
SS1617819279925,7,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_08_A,4405.3600000006845,NA,second half,2,second_deviant,2,6
SS1617819279925,8,simple_dissimilar,1,background,background,simple,simple_17_A,3220.5099999991944,NA,second half,2,background,3,4
SS1617819279925,8,simple_dissimilar,2,background,background,simple,simple_17_A,269.51000000193017,NA,second half,2,background,3,4
SS1617819279925,8,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_13_A,2429.6100000028964,NA,second half,2,first_deviant,3,4
SS1617819279925,8,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_13_A,817.0549999995856,NA,second half,2,second_deviant,3,4
SS1617819279925,9,complex_dissimilar,1,background,background,complex,complex_16_A,5319.649999997579,NA,second half,2,background,2,5
SS1617819279925,9,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_11_A,5118.105000001378,NA,second half,2,first_deviant,2,5
SS1617819279925,9,complex_dissimilar,3,background,background,complex,complex_16_A,4055.589999999909,NA,second half,2,background,2,5
SS1617819279925,9,complex_dissimilar,4,background,background,complex,complex_16_A,3129.259999997914,NA,second half,2,background,2,5
SS1617819279925,9,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_11_A,4682.724999998754,NA,second half,2,second_deviant,2,5
SS1617819279925,10,complex_dissimilar,1,background,background,complex,complex_09_A,4150.424999999814,NA,second half,1,background,2,NA
SS1617819279925,10,complex_dissimilar,2,dissimilar deviant,deviant,complex,complex_19_A,5355.690000000293,NA,second half,1,first_deviant,2,NA
SS1617819279925,10,complex_dissimilar,3,background,background,complex,complex_09_A,4332.72500000021,NA,second half,1,background,2,NA
SS1617819279925,10,complex_dissimilar,4,background,background,complex,complex_09_A,3904.6349999989616,NA,second half,1,background,2,NA
SS1617819279925,11,simple_dissimilar,1,background,background,simple,simple_11_A,1555.9949999988312,NA,second half,0,background,NA,NA
SS1617819279925,11,simple_dissimilar,2,background,background,simple,simple_11_A,496.4349999972619,NA,second half,0,background,NA,NA
SS1617819279925,11,simple_dissimilar,3,background,background,simple,simple_11_A,2471.994999999879,NA,second half,0,background,NA,NA
SS1617819279925,11,simple_dissimilar,4,background,background,simple,simple_11_A,779.774999999092,NA,second half,0,background,NA,NA
SS1617819306516,0,complex_dissimilar,1,background,background,complex,complex_17_A,2951.100000002014,NA,first half,1,background,3,NA
SS1617819306516,0,complex_dissimilar,2,background,background,complex,complex_17_A,783.9549999989686,NA,first half,1,background,3,NA
SS1617819306516,0,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_15_A,1136.1649999998626,NA,first half,1,first_deviant,3,NA
SS1617819306516,0,complex_dissimilar,4,background,background,complex,complex_17_A,816.3600000006845,NA,first half,1,background,3,NA
SS1617819306516,1,simple_dissimilar,1,background,background,simple,simple_19_A,2717.5050000005285,NA,first half,2,background,4,5
SS1617819306516,1,simple_dissimilar,2,background,background,simple,simple_19_A,675.1399999993155,NA,first half,2,background,4,5
SS1617819306516,1,simple_dissimilar,3,background,background,simple,simple_19_A,352.98499999777414,NA,first half,2,background,4,5
SS1617819306516,1,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_20_A,586.0150000007125,NA,first half,2,first_deviant,4,5
SS1617819306516,1,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_20_A,386.11999999923864,NA,first half,2,second_deviant,4,5
SS1617819306516,2,simple_dissimilar,1,background,background,simple,simple_20_A,356.4599999990314,NA,first half,2,background,3,4
SS1617819306516,2,simple_dissimilar,2,background,background,simple,simple_20_A,503.75999999960186,NA,first half,2,background,3,4
SS1617819306516,2,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_15_A,327.78999999933876,NA,first half,2,first_deviant,3,4
SS1617819306516,2,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_15_A,261.6999999991385,NA,first half,2,second_deviant,3,4
SS1617819306516,3,simple_dissimilar,1,background,background,simple,simple_17_A,398.75000000029104,NA,first half,1,background,5,NA
SS1617819306516,3,simple_dissimilar,2,background,background,simple,simple_17_A,386.46499999955995,NA,first half,1,background,5,NA
SS1617819306516,3,simple_dissimilar,3,background,background,simple,simple_17_A,319.86999999929685,NA,first half,1,background,5,NA
SS1617819306516,3,simple_dissimilar,4,background,background,simple,simple_17_A,432.94500000047265,NA,first half,1,background,5,NA
SS1617819306516,3,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_07_A,495.0699999972712,NA,first half,1,first_deviant,5,NA
SS1617819306516,3,simple_dissimilar,6,background,background,simple,simple_17_A,494.56999999890104,NA,first half,1,background,5,NA
SS1617819306516,4,complex_dissimilar,1,background,background,complex,complex_05_A,2622.670000000624,NA,first half,0,background,NA,NA
SS1617819306516,4,complex_dissimilar,2,background,background,complex,complex_05_A,968.769999999553,NA,first half,0,background,NA,NA
SS1617819306516,4,complex_dissimilar,3,background,background,complex,complex_05_A,353.93000000109896,NA,first half,0,background,NA,NA
SS1617819306516,4,complex_dissimilar,4,background,background,complex,complex_05_A,675.4550000005402,NA,first half,0,background,NA,NA
SS1617819306516,4,complex_dissimilar,5,background,background,complex,complex_05_A,438.6950000007637,NA,first half,0,background,NA,NA
SS1617819306516,5,complex_dissimilar,1,background,background,complex,complex_07_A,1455.6850000008708,NA,first half,1,background,5,NA
SS1617819306516,5,complex_dissimilar,2,background,background,complex,complex_07_A,451.9749999999767,NA,first half,1,background,5,NA
SS1617819306516,5,complex_dissimilar,3,background,background,complex,complex_07_A,401.669999999227,NA,first half,1,background,5,NA
SS1617819306516,5,complex_dissimilar,4,background,background,complex,complex_07_A,494.07499999867287,NA,first half,1,background,5,NA
SS1617819306516,5,complex_dissimilar,5,dissimilar deviant,deviant,complex,complex_11_A,1983.8000000017928,NA,first half,1,first_deviant,5,NA
SS1617819306516,6,complex_dissimilar,1,background,background,complex,complex_12_A,1193.9500000007683,NA,second half,2,background,4,6
SS1617819306516,6,complex_dissimilar,2,background,background,complex,complex_12_A,835.9450000025681,NA,second half,2,background,4,6
SS1617819306516,6,complex_dissimilar,3,background,background,complex,complex_12_A,563.1700000012643,NA,second half,2,background,4,6
SS1617819306516,6,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_16_A,1044.754999998957,NA,second half,2,first_deviant,4,6
SS1617819306516,6,complex_dissimilar,5,background,background,complex,complex_12_A,741.8699999980163,NA,second half,2,background,4,6
SS1617819306516,6,complex_dissimilar,6,dissimilar deviant,deviant,complex,complex_16_A,530.2049999991432,NA,second half,2,second_deviant,4,6
SS1617819306516,7,simple_dissimilar,1,background,background,simple,simple_03_A,545.79999999987194,NA,second half,1,background,5,NA
SS1617819306516,7,simple_dissimilar,2,background,background,simple,simple_03_A,310.97500000032596,NA,second half,1,background,5,NA
SS1617819306516,7,simple_dissimilar,3,background,background,simple,simple_03_A,444.73999999900116,NA,second half,1,background,5,NA
SS1617819306516,7,simple_dissimilar,4,background,background,simple,simple_03_A,211.77499999973224,NA,second half,1,background,5,NA
SS1617819306516,7,simple_dissimilar,5,dissimilar deviant,deviant,simple,simple_08_A,459.92000000120606,NA,second half,1,first_deviant,5,NA
SS1617819306516,7,simple_dissimilar,6,background,background,simple,simple_03_A,427.62500000029104,NA,second half,1,background,5,NA
SS1617819306516,8,simple_dissimilar,1,background,background,simple,simple_10_A,297.25999999942724,NA,second half,2,background,2,3
SS1617819306516,8,simple_dissimilar,2,dissimilar deviant,deviant,simple,simple_03_A,294.69500000053085,NA,second half,2,first_deviant,2,3
SS1617819306516,8,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_03_A,344.3299999998999,NA,second half,2,second_deviant,2,3
SS1617819306516,8,simple_dissimilar,4,background,background,simple,simple_10_A,311.0999999989872,NA,second half,2,background,2,3
SS1617819306516,8,simple_dissimilar,5,background,background,simple,simple_10_A,155.51000000047497,NA,second half,2,background,2,3
SS1617819306516,8,simple_dissimilar,6,background,background,simple,simple_10_A,268.0350000009639,NA,second half,2,background,2,3
SS1617819306516,9,simple_dissimilar,2,background,background,simple,simple_16_A,214.07999999797903,NA,second half,2,background,3,4
SS1617819306516,9,simple_dissimilar,3,dissimilar deviant,deviant,simple,simple_05_A,289.72000000067055,NA,second half,2,first_deviant,3,4
SS1617819306516,9,simple_dissimilar,4,dissimilar deviant,deviant,simple,simple_05_A,339.41499999852385,NA,second half,2,second_deviant,3,4
SS1617819306516,9,simple_dissimilar,5,background,background,simple,simple_16_A,267.79999999771826,NA,second half,2,background,3,4
SS1617819306516,9,simple_dissimilar,6,background,background,simple,simple_16_A,334.09000000031665,NA,second half,2,background,3,4
SS1617819306516,10,complex_dissimilar,1,background,background,complex,complex_09_A,543.5450000003912,NA,second half,2,background,3,4
SS1617819306516,10,complex_dissimilar,2,background,background,complex,complex_09_A,505.86499999905936,NA,second half,2,background,3,4
SS1617819306516,10,complex_dissimilar,3,dissimilar deviant,deviant,complex,complex_18_A,733.9450000000652,NA,second half,2,first_deviant,3,4
SS1617819306516,10,complex_dissimilar,4,dissimilar deviant,deviant,complex,complex_18_A,502.05500000086613,NA,second half,2,second_deviant,3,4
SS1617819306516,11,complex_dissimilar,1,background,background,complex,complex_14_A,458.1400000024587,NA,second half,2,background,4,5
