subject,question_type,stimulus,rating
SS1613079878933,complexity,images/stimuli/spore_stims/simple_02_A_a.gif,0
SS1613079892573,complexity,images/stimuli/spore_stims/simple_17_B_b.gif,2
SS1613079892573,complexity,images/stimuli/spore_stims/complex_18_B_b.gif,4
SS1613079892573,complexity,images/stimuli/spore_stims/simple_13_B_a.gif,4
SS1613079892573,complexity,images/stimuli/spore_stims/simple_05_A_a.gif,1
SS1613079892573,complexity,images/stimuli/spore_stims/complex_12_B_a.gif,4
SS1613079892573,complexity,images/stimuli/spore_stims/simple_18_A_d.gif,2
SS1613079892573,complexity,images/stimuli/spore_stims/simple_16_B_b.gif,1
SS1613079892573,complexity,images/stimuli/spore_stims/simple_03_A_a.gif,2
SS1613079892573,complexity,images/stimuli/spore_stims/simple_11_B_b.gif,3
SS1613079892573,complexity,images/stimuli/spore_stims/complex_19_B_c.gif,5
SS1613079892573,complexity,images/stimuli/spore_stims/complex_14_B_c.gif,4
SS1613079892573,complexity,images/stimuli/spore_stims/complex_01_B_d.gif,4
SS1613079892573,complexity,images/stimuli/spore_stims/complex_10_B_a.gif,5
SS1613079892573,complexity,images/stimuli/spore_stims/simple_19_A_a.gif,2
SS1613079892573,complexity,images/stimuli/spore_stims/complex_11_A_c.gif,5
SS1613079892573,complexity,images/stimuli/spore_stims/simple_10_B_c.gif,0
SS1613079892573,complexity,images/stimuli/spore_stims/complex_16_B_b.gif,6
SS1613079892573,complexity,images/stimuli/spore_stims/complex_13_B_b.gif,6
SS1613079892573,complexity,images/stimuli/spore_stims/simple_12_B_a.gif,2
SS1613079892573,complexity,images/stimuli/spore_stims/complex_19_A_a.gif,5
SS1613079895352,complexity,images/stimuli/spore_stims/complex_15_B_b.gif,4
SS1613079895352,complexity,images/stimuli/spore_stims/complex_16_A_d.gif,5
SS1613079895352,complexity,images/stimuli/spore_stims/simple_06_A_b.gif,1
SS1613079895352,complexity,images/stimuli/spore_stims/simple_14_A_d.gif,1
SS1613079895352,complexity,images/stimuli/spore_stims/complex_17_A_b.gif,5
SS1613079895352,complexity,images/stimuli/spore_stims/complex_13_A_c.gif,4
SS1613079895352,complexity,images/stimuli/spore_stims/simple_14_A_c.gif,1
SS1613079895352,complexity,images/stimuli/spore_stims/simple_12_A_b.gif,2
SS1613079895352,complexity,images/stimuli/spore_stims/complex_10_B_c.gif,5
SS1613079895352,complexity,images/stimuli/spore_stims/complex_04_B_c.gif,4
SS1613079895352,complexity,images/stimuli/spore_stims/complex_07_B_d.gif,6
SS1613079895352,complexity,images/stimuli/spore_stims/simple_15_A_d.gif,2
SS1613079895352,complexity,images/stimuli/spore_stims/simple_16_B_c.gif,0
SS1613079895352,complexity,images/stimuli/spore_stims/complex_03_B_b.gif,4
