subject,question_type,stimulus_left,stimulus_right,rating
SS1614809392317,similarity,images/stimuli/spore_stims/complex_11_B_d.gif,images/stimuli/spore_stims/complex_17_A_a.gif,3
SS1614809392317,similarity,images/stimuli/spore_stims/complex_01_B_d.gif,images/stimuli/spore_stims/complex_14_A_a.gif,2
SS1614809392317,similarity,images/stimuli/spore_stims/complex_08_A_c.gif,images/stimuli/spore_stims/complex_08_B_c.gif,6
SS1614809392317,similarity,images/stimuli/spore_stims/simple_05_A_c.gif,images/stimuli/spore_stims/simple_20_A_d.gif,1
SS1614809392317,similarity,images/stimuli/spore_stims/complex_12_B_a.gif,images/stimuli/spore_stims/complex_12_A_a.gif,3
SS1614809392317,similarity,images/stimuli/spore_stims/simple_13_A_d.gif,images/stimuli/spore_stims/simple_13_B_d.gif,4
SS1614809392317,similarity,images/stimuli/spore_stims/complex_10_B_c.gif,images/stimuli/spore_stims/complex_10_A_c.gif,3
SS1614809392317,similarity,images/stimuli/spore_stims/simple_03_A_d.gif,images/stimuli/spore_stims/simple_09_B_c.gif,0
SS1614809494343,similarity,images/stimuli/spore_stims/simple_11_B_c.gif,images/stimuli/spore_stims/simple_11_A_c.gif,5
SS1614809494343,similarity,images/stimuli/spore_stims/complex_12_B_c.gif,images/stimuli/spore_stims/complex_12_A_c.gif,1
SS1614809494343,similarity,images/stimuli/spore_stims/complex_02_B_a.gif,images/stimuli/spore_stims/complex_02_A_a.gif,5
SS1614809494343,similarity,images/stimuli/spore_stims/simple_06_A_d.gif,images/stimuli/spore_stims/simple_06_B_d.gif,4
SS1614809494343,similarity,images/stimuli/spore_stims/complex_07_A_d.gif,images/stimuli/spore_stims/complex_13_A_b.gif,0
SS1614809494343,similarity,images/stimuli/spore_stims/complex_10_A_a.gif,images/stimuli/spore_stims/complex_08_A_c.gif,0
SS1614809494343,similarity,images/stimuli/spore_stims/simple_16_A_d.gif,images/stimuli/spore_stims/simple_19_B_c.gif,2
SS1614809494343,similarity,images/stimuli/spore_stims/complex_20_B_d.gif,images/stimuli/spore_stims/complex_17_B_d.gif,0
SS1614809494343,similarity,images/stimuli/spore_stims/simple_18_A_d.gif,images/stimuli/spore_stims/simple_20_A_a.gif,2
SS1614809494343,similarity,images/stimuli/spore_stims/simple_19_A_a.gif,images/stimuli/spore_stims/simple_19_B_a.gif,5
SS1614809494343,similarity,images/stimuli/spore_stims/complex_18_B_c.gif,images/stimuli/spore_stims/complex_18_A_c.gif,4
SS1614809494343,similarity,images/stimuli/spore_stims/simple_09_B_b.gif,images/stimuli/spore_stims/simple_15_B_a.gif,2
SS1614809535320,similarity,images/stimuli/spore_stims/simple_08_B_a.gif,images/stimuli/spore_stims/simple_05_B_a.gif,4
SS1614809535320,similarity,images/stimuli/spore_stims/complex_13_B_d.gif,images/stimuli/spore_stims/complex_18_A_b.gif,2
SS1614809535320,similarity,images/stimuli/spore_stims/complex_14_A_d.gif,images/stimuli/spore_stims/complex_14_B_d.gif,4
SS1614809535320,similarity,images/stimuli/spore_stims/simple_02_A_a.gif,images/stimuli/spore_stims/simple_15_B_d.gif,2
SS1614809535320,similarity,images/stimuli/spore_stims/simple_19_A_d.gif,images/stimuli/spore_stims/simple_15_A_d.gif,2
SS1614809535320,similarity,images/stimuli/spore_stims/simple_18_A_c.gif,images/stimuli/spore_stims/simple_18_B_c.gif,5
SS1614809535320,similarity,images/stimuli/spore_stims/complex_10_B_b.gif,images/stimuli/spore_stims/complex_10_A_b.gif,4
SS1614809535320,similarity,images/stimuli/spore_stims/complex_11_B_d.gif,images/stimuli/spore_stims/complex_11_A_d.gif,5
SS1614809535320,similarity,images/stimuli/spore_stims/simple_20_A_b.gif,images/stimuli/spore_stims/simple_20_B_b.gif,4
SS1614809535320,similarity,images/stimuli/spore_stims/complex_12_A_c.gif,images/stimuli/spore_stims/complex_06_B_a.gif,2
SS1614809535320,similarity,images/stimuli/spore_stims/complex_03_A_d.gif,images/stimuli/spore_stims/complex_20_B_a.gif,1
