"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":9829}]","9829","instructions","0","9831","0.0-0.0","SS1626381941156","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":7626},{""page_index"":1,""viewing_time"":5457}]","13083","instructions","1","24918","0.0-1.0","SS1626381941156","instructions","","","","","","","","","","","","","","","","",""
"","4351","sequential-stimulus-presentation-old","2","29780","0.0-2.0","SS1626381941156","","","40","500","4851","null","null","self_paced","0","","","","","","","","",""
"","2675","sequential-stimulus-presentation-old","3","32973","0.0-3.0","SS1626381941156","","","40","500","3175","null","null","self_paced","0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6924}]","6924","instructions","4","39898","0.0-4.0","SS1626381941156","instructions","","","","","","","","","","","","","","","","",""
"","1750","sequential-stimulus-presentation-old","5","42165","0.0-5.0","SS1626381941156","","","40","500","2250","null","null","forced_short","500","","","","","","","","",""
"","1967","sequential-stimulus-presentation-old","6","44647","0.0-6.0","SS1626381941156","","","40","500","2467","null","null","forced_short","500","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3257}]","3257","instructions","7","47906","0.0-7.0","SS1626381941156","instructions","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5712},{""page_index"":1,""viewing_time"":7357},{""page_index"":2,""viewing_time"":3416},{""page_index"":3,""viewing_time"":1456},{""page_index"":4,""viewing_time"":985}]","18926","instructions","8","66834","0.0-8.0","SS1626381941156","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","67742","0.0-9.0-0.0","SS1626381941156","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","930","sequential-stimulus-presentation-old","10","68766","0.0-9.0-1.0","SS1626381941156","trial","","40","500","1430","images/stimuli/spore_stims/complex_12_A_a.gif","images/stimuli/spore_stims/complex_05_A_a.gif","forced_short","80","","0","complex_dissimilar","images/stimuli/spore_stims/complex_05_A_a.gif","","","","",""
"","null","html-keyboard-response","11","69690","0.0-9.0-0.1","SS1626381941156","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
