"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":54896.70000000113}]","54900.79999999942","instructions","0","54913","0.0-0.0","SS1626382120207",""
"[{""page_index"":0,""viewing_time"":27382.999999999796},{""page_index"":1,""viewing_time"":11559.499999999389}]","38943.999999999476","instructions","1","95874","0.0-1.0","SS1626382120207","instructions"
