"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":5378.0999999940395}]","5383.5999999940395","instructions","0","5396","0.0-0.0","SS1626382280742",""
"[{""page_index"":0,""viewing_time"":3906.899999976158},{""page_index"":1,""viewing_time"":1604.4000000059605}]","5512.5999999940395","instructions","1","12924","0.0-1.0","SS1626382280742","instructions"
