"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","block_deviant","block_background","exposure_type","forced_exposure_time","stimulus","block_number","block_type","stimulus_displayed","responses","question_order","math_correct_answer","stimulus_left","stimulus_right"
"[{""page_index"":0,""viewing_time"":6199}]","6199","instructions","0","6203","0.0-0.0","SS1626382363430","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5073},{""page_index"":1,""viewing_time"":6599}]","11673.000000000004","instructions","1","19879","0.0-1.0","SS1626382363430","instructions","","","","","","","","","","","","","","","","",""
"","4230","sequential-stimulus-presentation-old","2","24613","0.0-2.0","SS1626382363430","","","40","500","4730","null","null","self_paced","0","","","","","","","","",""
"","2865","sequential-stimulus-presentation-old","3","27982","0.0-3.0","SS1626382363430","","","40","500","3365","null","null","self_paced","0","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10816}]","10816","instructions","4","38800","0.0-4.0","SS1626382363430","instructions","","","","","","","","","","","","","","","","",""
"","7100","sequential-stimulus-presentation-old","5","46404","0.0-5.0","SS1626382363430","","","40","500","7600","null","null","forced_short","500","","","","","","","","",""
"","830","sequential-stimulus-presentation-old","6","47738","0.0-6.0","SS1626382363430","","","40","500","1330","null","null","forced_short","500","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3666}]","3666","instructions","7","51407","0.0-7.0","SS1626382363430","instructions","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5108.000000000007},{""page_index"":1,""viewing_time"":2388.9999999999854},{""page_index"":2,""viewing_time"":1292},{""page_index"":3,""viewing_time"":1402},{""page_index"":4,""viewing_time"":923.0000000000146}]","11114.000000000007","instructions","8","62523","0.0-8.0","SS1626382363430","instructions","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","63615","0.0-9.0-0.0","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2743","sequential-stimulus-presentation-old","10","67175","0.0-9.0-1.0","SS1626382363430","trial","","40","500","3243","images/stimuli/spore_stims/complex_06_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","810","","0","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","11","68427","0.0-9.0-0.1","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","4361","sequential-stimulus-presentation-old","12","73293","0.0-9.0-1.1","SS1626382363430","trial","","40","500","4861","images/stimuli/spore_stims/complex_06_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","810","","0","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","13","74394","0.0-9.0-0.2","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1164","sequential-stimulus-presentation-old","14","76063","0.0-9.0-1.2","SS1626382363430","trial","","40","500","1664","images/stimuli/spore_stims/complex_06_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","810","","0","complex_dissimilar","images/stimuli/spore_stims/complex_17_A_b.gif","","","","",""
"","null","html-keyboard-response","15","77317","0.0-9.0-0.3","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1043","sequential-stimulus-presentation-old","16","78865","0.0-9.0-1.3","SS1626382363430","trial","","40","500","1543","images/stimuli/spore_stims/complex_06_A_b.gif","images/stimuli/spore_stims/complex_17_A_b.gif","forced_short","810","","0","complex_dissimilar","images/stimuli/spore_stims/complex_06_A_b.gif","","","","",""
"","3449","survey-multi-choice","17","82319","0.0-10.0","SS1626382363430","math_question","","","","","","","","","","","","","{""Q0"":""14""}","[0]","14","",""
"","null","html-keyboard-response","18","83345","0.0-11.0-0.0","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","2248","sequential-stimulus-presentation-old","19","86050","0.0-11.0-1.0","SS1626382363430","trial","","40","500","2748","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","450","","1","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","20","86908","0.0-11.0-0.1","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","1673","sequential-stimulus-presentation-old","21","89085","0.0-11.0-1.1","SS1626382363430","trial","","40","500","2173","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","450","","1","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","22","90306","0.0-11.0-0.2","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
"","327","sequential-stimulus-presentation-old","23","91138","0.0-11.0-1.2","SS1626382363430","trial","","40","500","827","images/stimuli/spore_stims/complex_19_A_a.gif","images/stimuli/spore_stims/complex_20_A_a.gif","forced_short","450","","1","complex_dissimilar","images/stimuli/spore_stims/complex_20_A_a.gif","","","","",""
"","null","html-keyboard-response","24","92258","0.0-11.0-0.3","SS1626382363430","","","null","","","","","","","<p><img src= images/blank.png width =""600"" height = ""600"" style=""position:fixed;top:50%; left:50%; transform: translate(-50%, -50%); border:5px solid black"">","","","","","","","",""
