"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":5405}]","5409.300000011921","instructions","0","5423","0.0-0.0","SS1626382401409",""
"[{""page_index"":0,""viewing_time"":4150.699999988079},{""page_index"":1,""viewing_time"":10077.100000023842}]","14231.899999976158","instructions","1","21666","0.0-1.0","SS1626382401409","instructions"
