"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":9415.800000011921}]","9419.5","instructions","0","9431","0.0-0.0","SS1626380720162",""
"[{""page_index"":0,""viewing_time"":8535.5},{""page_index"":1,""viewing_time"":5303.199999988079}]","13839.899999976158","instructions","1","25282","0.0-1.0","SS1626380720162","instructions"
