"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","stimulus_type"
"[{""page_index"":0,""viewing_time"":3587.800000011921}]","3598.600000023842","instructions","0","3601","0.0-0.0","SS1626382537139",""
"[{""page_index"":0,""viewing_time"":2795},{""page_index"":1,""viewing_time"":1791.199999988079}]","4588.800000011921","instructions","1","10200","0.0-1.0","SS1626382537139","instructions"
