subject,rt,response,target,left_violation,right_violation,chosen_violation
SS1678170137878,1980,j,media/stimuli/inanimate_007_right.png,animacy,pose,pose
SS1678170137878,2841,j,media/stimuli/inanimate_001_right.png,animacy,pose,pose
SS1678170137878,1981,f,media/stimuli/inanimate_009_left.png,identity,animacy,identity
SS1678170137878,1072,j,media/stimuli/inanimate_004_left.png,animacy,number,number
SS1678170137878,2349,j,media/stimuli/animate_009_left.png,identity,pose,pose
SS1678170137878,2025,j,media/stimuli/inanimate_005_right.png,identity,number,number
SS1678170137878,1669,f,media/stimuli/inanimate_008_right.png,pose,animacy,pose
SS1678170137878,1779,f,media/stimuli/inanimate_009_right.png,number,identity,number
SS1678170137878,1894,f,media/stimuli/animate_012_left.png,number,animacy,number
SS1678170137878,4556,j,media/stimuli/animate_009_left.png,number,pose,pose
SS1678170137878,4069,j,media/stimuli/animate_008_left.png,animacy,number,number
SS1678170137878,2149,f,media/stimuli/animate_007_left.png,pose,animacy,pose
SS1678170137878,1031,j,media/stimuli/inanimate_011_left.png,identity,number,number
SS1678170137878,4024,f,media/stimuli/inanimate_003_left.png,animacy,number,animacy
SS1678170137878,1971,j,media/stimuli/inanimate_008_right.png,pose,number,number
SS1678170137878,3169,f,media/stimuli/animate_008_left.png,identity,animacy,identity
SS1678170137878,3416,j,media/stimuli/animate_001_right.png,number,identity,identity
SS1678170137878,2138,f,media/stimuli/inanimate_010_right.png,pose,identity,pose
SS1678170137878,2794,f,media/stimuli/animate_004_left.png,pose,animacy,pose
SS1678170137878,2778,j,media/stimuli/inanimate_005_right.png,pose,animacy,animacy
SS1678170137878,3612,f,media/stimuli/animate_006_left.png,identity,number,identity
SS1678170137878,4305,j,media/stimuli/animate_008_right.png,animacy,pose,pose
SS1678170137878,2107,j,media/stimuli/inanimate_008_left.png,animacy,number,number
SS1678170137878,937,f,media/stimuli/animate_011_right.png,number,identity,number
SS1678170137878,1461,j,media/stimuli/inanimate_002_left.png,identity,pose,pose
