Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6407ce601af1e757ac2be687,62e097c92160176b0b9c2619,APPROVED,2023-03-07T23:53:09.692000Z,2023-03-08T00:04:47.019000Z,2023-03-08T05:06:12.519000,2023-03-08T00:04:49.053248Z,698,C90GA43K,1408,37,Female,White,United States,United States,United States,English,No,Full-Time
6407ce60a8697fcd4d97e7a0,63d44472a72a227e0fef6bdc,APPROVED,2023-03-07T23:53:09.845000Z,2023-03-08T00:02:58.478000Z,2023-03-08T05:06:12.629000,2023-03-08T00:04:34.538666Z,589,C90GA43K,267,26,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6407ce6175fb452ea41e6d8b,58adfc6e7cf56d0001f931a2,APPROVED,2023-03-07T23:53:07.989000Z,2023-03-08T00:23:42.857000Z,2023-03-08T05:06:12.743000,2023-03-08T00:23:43.223161Z,1835,C90GA43K,3040,25,Male,Black,United States,United States,United States,English,Yes,Other
6407ce618683ed7f4c61e699,5e0d256753e8464d64940925,APPROVED,2023-03-07T23:53:09.765000Z,2023-03-08T00:01:45.791000Z,2023-03-08T05:06:12.852000,2023-03-08T00:03:57.730756Z,517,C90GA43K,3857,55,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6407ce61b40f5c54c7767963,60ff8095fe0067960a67ab9b,APPROVED,2023-03-07T23:53:09.030000Z,2023-03-08T00:01:53.687000Z,2023-03-08T05:06:12.960000,2023-03-08T00:04:02.072512Z,525,C90GA43K,777,21,Male,Asian,India,United States,United States,Urdu,DATA_EXPIRED,DATA_EXPIRED
6407ce621d95404b48e9bffe,5d531dbf8c48ca00018560a7,APPROVED,2023-03-07T23:53:25.801000Z,2023-03-08T00:06:56.784000Z,2023-03-08T05:06:13.069000,2023-03-08T00:06:57.242968Z,811,C90GA43K,2113,DATA_EXPIRED,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6407ce62575dfa94d7c4c72e,63c3068bd61c16717eeea2e5,APPROVED,2023-03-07T23:53:12.216000Z,2023-03-08T00:03:26.810000Z,2023-03-08T05:06:13.180000,2023-03-08T00:04:40.062772Z,615,C90GA43K,289,58,Female,White,United States,United States,United States,English,No,Part-Time
6407ce62a1290db6e721459c,5baa535fa3c9170001156197,APPROVED,2023-03-07T23:53:06.698000Z,2023-03-08T00:07:18.683000Z,2023-03-08T05:06:13.291000,2023-03-08T00:07:19.104328Z,852,5baa535fa3c9170001156197,4654,33,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6407ce62ede9de9b12a9a758,63bed6e176fba857a47fbaff,APPROVED,2023-03-07T23:53:06.038000Z,2023-03-08T00:09:36.877000Z,2023-03-08T05:06:13.400000,2023-03-08T00:09:37.197221Z,991,C90GA43K,474,61,Female,Black,United States,United States,United States,English,No,Part-Time
6407ce632590e0080207ae21,62ce35b697d7d717edaeee58,APPROVED,2023-03-07T23:53:46.689000Z,2023-03-08T00:04:16.375000Z,2023-03-08T05:06:13.510000,2023-03-08T00:04:37.647858Z,630,C90GA43K,1230,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
