"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","responses","stimulus","key_press","view_history","stimulus_type","subject_num","condition_num","block_number","block_type","fam_duration","stimulus_displayed","response","question_order"
"true","fullscreen","0","1829","0.0-0.0","SS1671721660416","","","","","","","","","","","","","",""
"","survey-text","1","4109","0.0-1.0","SS1671721660416","2276","{""Age"":""335"",""Gender"":""M""}","","","","","","","","","","","",""
"","audio-keyboard-response","2","4324","0.0-2.0","SS1671721660416","213.69999998807907","","stimuli/audio/music_intro.wav","13","","","","","","","","","",""
"","html-keyboard-response","3","7837","0.0-3.0","SS1671721660416","3511.899999976158","","<p><img src=stimuli/intro/intro2.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","4","65883","0.0-4.0","SS1671721660416","58047","","<p><img src=stimuli/intro/intro3.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","5","110260","0.0-5.0","SS1671721660416","44377.40000003576","","<p><img src=stimuli/intro/intro4.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","",""
"","html-keyboard-response","6","118476","0.0-6.0","SS1671721660416","8215.899999976158","","<p><img src=stimuli/intro/intro5.jpeg width ='1200' height = '667'></p>","40","","","","","","","","","",""
"","html-keyboard-response","7","134276","0.0-7.0","SS1671721660416","15800.199999988079","","<p><img src=stimuli/intro/intro6.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","8","157737","0.0-8.0","SS1671721660416","23460.700000047684","","<p><img src=stimuli/intro/intro7.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","html-keyboard-response","9","256408","0.0-9.0","SS1671721660416","98672.69999998808","","<p><img src=stimuli/intro/intro8.jpeg width ='1200' height = '667'></p>","39","","","","","","","","","",""
"","instructions","10","258187","0.0-10.0","SS1671721660416","1778.3999999761581","","","","[{""page_index"":0,""viewing_time"":1778.1000000238419}]","","","","","","","","",""
"","video-keyboard-response","11","276397","0.0-11.0","SS1671721660416","null","","[""stimuli/images/calibration.mp4""]","null","","calibration","","","","","","","",""
"","video-keyboard-response","12","281063","0.0-12.0","SS1671721660416","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","13","322854","0.0-13.0","SS1671721660416","41789.30000001192","","[""stimuli/images/unity_stims/unitystims_001_Left_1fam_deviant_2_new.mp4""]","40","","trial","19","2","1","deviant","1","stimuli/images/unity_stims/unitystims_001_Left_1fam_deviant_2_new.mp4","",""
"","html-keyboard-response","14","323406","0.0-14.0","SS1671721660416","550.5","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","15","328062","0.0-15.0","SS1671721660416","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","16","353212","0.0-16.0","SS1671721660416","25148.399999976158","","[""stimuli/images/unity_stims/unitystims_004_Right_3fam_background_2_new.mp4""]","40","","trial","19","2","2","background","3","stimuli/images/unity_stims/unitystims_004_Right_3fam_background_2_new.mp4","",""
"","html-keyboard-response","17","354181","0.0-17.0","SS1671721660416","969.3000000119209","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","18","358828","0.0-18.0","SS1671721660416","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","19","386884","0.0-19.0","SS1671721660416","28055.19999998808","","[""stimuli/images/unity_stims/unitystims_006_Left_1fam_background_2_new.mp4""]","40","","trial","19","2","3","background","1","stimuli/images/unity_stims/unitystims_006_Left_1fam_background_2_new.mp4","",""
"","html-keyboard-response","20","390684","0.0-20.0","SS1671721660416","3799.800000011921","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
"","video-keyboard-response","21","395328","0.0-21.0","SS1671721660416","null","","[""stimuli/images/attngetter_quiet.mp4""]","null","","attention_getter","","","","","","","",""
"","video-keyboard-response","22","438539","0.0-22.0","SS1671721660416","43210.10000002384","","[""stimuli/images/unity_stims/unitystims_002_Right_3fam_deviant_1_new.mp4""]","40","","trial","19","2","4","deviant","3","stimuli/images/unity_stims/unitystims_002_Right_3fam_deviant_1_new.mp4","",""
"","html-keyboard-response","23","439051","0.0-23.0","SS1671721660416","511.19999998807907","","<p><img src=""stimuli/images/attngetter_blank.png""></p>","40","","between_block","","","","","","","",""
